"","p_c_ab","p_c_mean","p_neg_c_ab","p_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","reform","save_dir","simulation_name","theta_ab"
"1",0.3444,0.2576,0.1804,0.2568,0.1804,0,0,-0.0181255697999532,-0.0251249042893316,100,0,0.8,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_04",0.2
"2",0.5788,0.654,0.7276,0.6544,0.2724,0,0,0.0109308176730535,0.0161749701665371,100,0,0.8,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_04",0.2
"3",1,1,1,1,0,0,0,0.133079770275589,0.134974026454879,100,0,0.8,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_04",0.2
"4",0.9988,0.9988,0.9956,0.996,0.0044,0,0,0.0804139846836037,0.075932588195936,100,0,0.8,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_04",0.2
"5",0.7368,0.6032,0.4292,0.588,0.5708,0,0,0.00717052755617098,-0.00463393464870897,100,0,0.8,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_04",0.2
"6",0.0996,0.0824,0.0736,0.0896,0.0736,0,1,-0.0356407346554596,-0.0381746591477026,100,0,0.8,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_04",0.2
"7",0.9372,0.9536,0.9668,0.9544,0.0332,0,0,0.0450652751715759,0.0487003591936241,100,0,0.8,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_04",0.2
"8",0.9624,0.8892,0.7224,0.8828,0.2776,0,0,0.0371518106310483,0.0182392620462729,100,0,0.8,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_04",0.2
"9",0.2996,0.186,0.1004,0.1848,0.1004,0,0,-0.0220339879506499,-0.0314669155860451,100,0,0.8,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_04",0.2
"10",0.1932,0.2588,0.3416,0.264,0.3416,0,0,-0.0163988215773873,-0.0105296883248856,100,0,0.8,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_04",0.2
