"","p_ab_c_ab","p_ab_c_mean","p_ab_neg_c_ab","p_ab_neg_c_mean","p_boot_c_ab","p_boot_c_mean","p_boot_neg_c_ab","p_boot_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","boot_ab","X2.5.","X97.5.","X0.","X25.","X50.","X75.","X100.","J","a","b","boottype","c_p","mc.cores","n_j","niter","nperms","nreps","optimizer","permtype","reform","save_dir","simtype","simulation_name","theta_ab"
"1",0.868,0.6704,0.4004,0.6688,0.6704,0.4108,0.1832,0.4004,0.4004,0,0,0.0104599982708305,-0.00569719985025759,-0.0528933420216603,0.041801575141149,-0.0991784510971686,-0.0217208194175461,-0.00568789657005482,0.0104763501366738,0.0765685871980665,100,0.2,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_1",0.2
"2",0.3328,0.3904,0.4332,0.382,0.3904,0.4448,0.4988,0.4332,0.4332,0,1,-0.00882654100090587,-0.00435362242379748,-0.0680141458333557,0.0612206204313953,-0.163785611089958,-0.0258030517410866,-0.0045566704768127,0.0165724615437694,0.12011755252812,100,0.2,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_1",0.2
"3",0.148,0.3828,0.67,0.3876,0.3828,0.6772,0.8856,0.67,0.33,0,9,-0.00569434385214727,0.00869747160055872,-0.0309292262490675,0.0463838198728522,-0.0619853109465153,-0.00429325112163113,0.00880119326748992,0.0216762640868823,0.0915912921607802,100,0.2,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_1",0.2
"4",0.7292,0.8036,0.8624,0.7984,0.8036,0.8648,0.912,0.8624,0.1376,0,0,0.0237286968664849,0.0310533378740773,-0.0246279767597431,0.0912569678844771,-0.0763437795151481,0.0120033047030473,0.0301683209422601,0.0497791362691311,0.131173055526719,100,0.2,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_1",0.2
"5",0.994,0.9172,0.5752,0.9168,0.9172,0.578,0.1632,0.5752,0.4248,0,0,0.0260833239747886,0.00382572566396075,-0.0342505543908014,0.0429706075234784,-0.0667972210752041,-0.00882309634609398,0.00396091238197174,0.016770728266127,0.0784402259603022,100,0.2,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_1",0.2
"6",0.0216,0.0876,0.2828,0.0828,0.0876,0.2772,0.5732,0.2828,0.2828,0,0,-0.0380033639167456,-0.0164920922270821,-0.0742056934892131,0.0392972351109018,-0.116796146869232,-0.035459863191486,-0.0161923778753248,0.00235995475629336,0.091075966924739,100,0.2,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_1",0.2
"7",0.0116,0.0756,0.3496,0.0752,0.0756,0.3372,0.7272,0.3496,0.3496,0,0,-0.0276599541919515,-0.00799779233943814,-0.048161090148072,0.0300158140787589,-0.0906220374250373,-0.0211636345512448,-0.00777040631939011,0.00535471141597054,0.0558810436116656,100,0.2,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_1",0.2
"8",0.2216,0.328,0.4832,0.3364,0.328,0.4732,0.6392,0.4832,0.4832,0,0,-0.00734253872935811,-0.000879855364855428,-0.0384951796199117,0.036156683105952,-0.0663440619922193,-0.0125216683015611,-0.000713111100059822,0.0107306788498985,0.0639048353470061,100,0.2,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_1",0.2
"9",0.9992,0.9664,0.7244,0.9692,0.9664,0.728,0.2512,0.7244,0.2756,0,6,0.0442057181830698,0.0141792193783283,-0.0319211231392006,0.0626035600287702,-0.0926228468656234,-0.00208491766073998,0.0145055657936235,0.0301523362723911,0.0904625050297751,100,0.2,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_1",0.2
"10",0.5972,0.6172,0.632,0.614,0.6172,0.6348,0.654,0.632,0.368,0,0,0.00613534263813001,0.00719535503748258,-0.0364329766428004,0.0521536529860622,-0.0759328401297209,-0.00783960344753074,0.00706041142433652,0.0225571656467426,0.0805360842309631,100,0.2,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_1",0.2
"11",0.2768,0.6756,0.9308,0.6456,0.6756,0.916,0.9968,0.9308,0.0692,0,1,0.0116403830696212,0.0401978969209379,-0.0131567925998731,0.100854147935352,-0.0488590738995867,0.0208183753541893,0.038037013928811,0.0584092098675885,0.148118379552492,100,0.2,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_1",0.2
"12",0.7316,0.5736,0.4164,0.5832,0.5736,0.4052,0.2584,0.4164,0.4164,0,3,0.00358278499571779,-0.00409763929629308,-0.0404607596421657,0.0313192058569796,-0.0895210882690283,-0.0161346253255683,-0.00354402466010384,0.00805450575680176,0.0664614023963859,100,0.2,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_1",0.2
"13",0.5396,0.452,0.366,0.45,0.452,0.3612,0.2888,0.366,0.366,0,2,-0.00255538671573402,-0.00715069471150404,-0.0502324178911972,0.0364356265462258,-0.0868591585350644,-0.0209713539699804,-0.00713612141115055,0.00709382188695706,0.0701264345496711,100,0.2,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_1",0.2
"14",0.0104,0.1208,0.586,0.1268,0.1208,0.5816,0.9448,0.586,0.414,0,0,-0.0228810904103485,0.00445797311430527,-0.0352102597530329,0.0431292999220955,-0.115864546887722,-0.00841043420152124,0.00489174872296592,0.01738238387126,0.0886907959287779,100,0.2,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_1",0.2
