"","p_ab_c_ab","p_ab_c_mean","p_ab_neg_c_ab","p_ab_neg_c_mean","p_boot_c_ab","p_boot_c_mean","p_boot_neg_c_ab","p_boot_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","boot_ab","X2.5.","X97.5.","X0.","X25.","X50.","X75.","X100.","J","a","b","boottype","c_p","mc.cores","n_j","niter","nperms","nreps","optimizer","permtype","reform","save_dir","simtype","simulation_name","theta_ab"
"1",0.9752,0.8268,0.4576,0.8272,0.8268,0.46,0.1252,0.4576,0.4576,0,0,0.0190178517551006,-0.0020393567461239,-0.0425117383227406,0.0379432316388305,-0.0750920565732978,-0.0149896020037368,-0.00223247396964398,0.011415276852293,0.0799954420821216,100,0,0.2,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_3",0.2
"2",4e-04,0.0256,0.2184,0.0264,0.0256,0.2132,0.6892,0.2184,0.2184,0,0,-0.0517348834402543,-0.019667704269612,-0.0715540454049442,0.032315637259751,-0.106570477913196,-0.0360116083911425,-0.0199492474600415,-0.0028908828729345,0.0753447701157782,100,0,0.2,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_3",0.2
"3",0.4612,0.34,0.2164,0.3344,0.34,0.2148,0.1284,0.2164,0.2164,0,0,-0.00856357752860952,-0.0157022442477448,-0.0577442349907633,0.0259287321901701,-0.0946711250443394,-0.0292247057827464,-0.0153702722720723,-0.00214499054691656,0.0759498625989886,100,0,0.2,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_3",0.2
"4",0.2164,0.3428,0.478,0.3412,0.3428,0.4808,0.6176,0.478,0.478,0,0,-0.0133578971013016,-0.00158527940852754,-0.0717201939102298,0.0658876777504828,-0.147360834120023,-0.0227891127790387,-0.00156215133288746,0.0211196925477534,0.124890179190318,100,0,0.2,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_3",0.2
"5",0.4168,0.4752,0.506,0.4616,0.4752,0.5224,0.5556,0.506,0.494,0,1,-0.00187992236709823,0.000870609967403053,-0.0440666770338285,0.0470188921945648,-0.0705875412717858,-0.0143701269149482,0.000307581162950361,0.0160597688369901,0.0788406565511712,100,0,0.2,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_3",0.2
"6",0.3156,0.424,0.5508,0.434,0.424,0.5436,0.6684,0.5508,0.4492,0,0,-0.00388011376448098,0.00263830854580477,-0.0405694043270062,0.0475824839445773,-0.0878935083341004,-0.0123450612804973,0.0028055734180277,0.0174380043128974,0.0893107499367396,100,0,0.2,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_3",0.2
"7",0.9832,0.9,0.6172,0.902,0.9,0.6284,0.2512,0.6172,0.3828,0,0,0.030015944381038,0.00725495663774191,-0.0393016398163987,0.0563652842410116,-0.0713086946707161,-0.00842627529745342,0.00660625624865206,0.0228657797405009,0.0980592606035413,100,0,0.2,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_3",0.2
"8",0.3924,0.5848,0.7376,0.5684,0.5848,0.7404,0.8652,0.7376,0.2624,0,0,0.00373382126281057,0.0130989725047193,-0.0301168544205051,0.0584621010159163,-0.0700118133150768,-0.000923967509851617,0.0127183112834064,0.0267794534547697,0.0879837785065066,100,0,0.2,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_3",0.2
"9",0.8632,0.6996,0.4624,0.6948,0.6996,0.48,0.2528,0.4624,0.4624,0,0,0.0103286359495117,-0.00152807706031968,-0.0431146299105744,0.0410937850068201,-0.0867334844311719,-0.0149690558551589,-0.00185734626563391,0.0119457373615005,0.0675542363003987,100,0,0.2,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_3",0.2
"10",0.3932,0.5532,0.684,0.53,0.5532,0.7052,0.8264,0.684,0.316,0,0,0.0020576475668414,0.00963140911458031,-0.0264962006962196,0.0500996217072683,-0.059284995446842,-0.00332027180963346,0.00903203711611496,0.0218709182559672,0.0887932998197798,100,0,0.2,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_3",0.2
"11",0,0.0072,0.414,0.0048,0.0072,0.4104,0.9836,0.414,0.414,0,0,-0.064480184213886,-0.00491985502453863,-0.0542977649358384,0.0439378217807922,-0.113846087509584,-0.0204841317641999,-0.00445757436329746,0.0109506924396923,0.125908516387873,100,0,0.2,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_3",0.2
"12",0.3372,0.3804,0.4428,0.3936,0.3804,0.4228,0.4908,0.4428,0.4428,0,0,-0.00619347500469527,-0.00375795549779757,-0.0465259215100161,0.037746643476394,-0.091668982636998,-0.01738191481169,-0.00295382011345939,0.00982322255125945,0.0884573079037912,100,0,0.2,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_3",0.2
"13",0.0768,0.296,0.6468,0.2952,0.296,0.6588,0.904,0.6468,0.3532,0,0,-0.010106421911883,0.0074086922420835,-0.0303648175530373,0.0474998517504843,-0.0621223958225237,-0.00521962974328948,0.00680975220408711,0.0198851138100701,0.0775128254222134,100,0,0.2,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_3",0.2
"14",0.4448,0.4148,0.3824,0.41,0.4148,0.3804,0.35,0.3824,0.3824,0,0,-0.00690345473264266,-0.00938090160809645,-0.0698063588193168,0.0509902037006069,-0.135906534542959,-0.0294621297328618,-0.0096290191620056,0.0114229218427445,0.0993649548932773,100,0,0.2,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_3",0.2
"15",0.9024,0.864,0.8256,0.8636,0.864,0.8216,0.7712,0.8256,0.1744,0,0,0.0258146216444978,0.021738774730074,-0.023160178352348,0.0694225678297406,-0.0717286456642479,0.00575373943930779,0.0217402655490598,0.0372251915191726,0.126107592167339,100,0,0.2,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_3",0.2
"16",0.276,0.2264,0.1976,0.2388,0.2264,0.1852,0.1484,0.1976,0.1976,0,0,-0.0189831094878782,-0.0230585499541507,-0.0787134571356864,0.0278352402970901,-0.112555587882477,-0.0400868812514918,-0.0222435702723663,-0.00497851113440921,0.0686188187664487,100,0,0.2,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_3",0.2
"17",0.3932,0.4356,0.4976,0.4484,0.4356,0.4836,0.542,0.4976,0.4976,0,0,-0.00348525913526478,-0.000649968531180377,-0.0503029974810871,0.0475860206793152,-0.0937982225166905,-0.0169976397144046,-0.000170789607844409,0.0152606660125107,0.0899866027426253,100,0,0.2,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_3",0.2
"18",0.0216,0.1384,0.5136,0.144,0.1384,0.5148,0.874,0.5136,0.4864,0,0,-0.0220908416849463,0.000676911458407188,-0.0420950694800524,0.0420380270444579,-0.0748662979824328,-0.0136166697079893,0.000613096718963014,0.0145394466481343,0.097997517003995,100,0,0.2,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_3",0.2
"19",0.5648,0.5928,0.59,0.5688,0.5928,0.616,0.6116,0.59,0.41,0,0,0.00370898527020293,0.00470664900369105,-0.032975261924994,0.0439916643744254,-0.075404680159271,-0.00863217788720366,0.00415864432188163,0.0170216500770908,0.0967523609931999,100,0,0.2,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_3",0.2
"20",0.0016,0.0588,0.458,0.0648,0.0588,0.4696,0.9176,0.458,0.458,0,0,-0.037700963571891,-0.00228829011179318,-0.0511956748179233,0.0476666246034065,-0.10878889155453,-0.0187531881553429,-0.00239943001244138,0.0137430785066696,0.0899730664564687,100,0,0.2,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_3",0.2
"21",0.9712,0.9328,0.888,0.9428,0.9328,0.8752,0.7836,0.888,0.112,0,0,0.028459042535245,0.0213230866170764,-0.0149035221553516,0.0586405523401814,-0.0426692515501481,0.00914807005249456,0.0205683902185149,0.0328774719553641,0.108526831509977,100,0,0.2,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_3",0.2
"22",0.1932,0.3724,0.5764,0.3676,0.3724,0.5812,0.7752,0.5764,0.4236,0,0,-0.00617706388389911,0.00376041951867034,-0.035424613359202,0.0417225628369743,-0.0681323830358291,-0.00832804069625456,0.00354456917820335,0.0161840823717641,0.0898020629904855,100,0,0.2,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_3",0.2
