"","p_c_ab","p_c_mean","p_neg_c_ab","p_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","permtype","reform","save_dir","simulation_name","theta_ab"
"1",0.0024,0.0192,0.1112,0.0156,0.1112,0,0,-0.0212108400414683,-0.011921167183169,100,0,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_05",0.2
"2",1,0.9996,0.9988,1,0.0012,0,0,0.0366948824686165,0.0237474596340074,100,0,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_05",0.2
"3",0.0808,0.2688,0.5752,0.2612,0.5752,0,0,-0.00285038807500414,0.000827392116397834,100,0,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_05",0.2
"4",0.004,0.0224,0.11,0.0196,0.11,0,0,-0.0207666379554221,-0.0124993104988735,100,0,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_05",0.2
"5",0.1876,0.2248,0.286,0.2444,0.286,0,0,-0.006506677206054,-0.00525300459067898,100,0,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_05",0.2
"6",0.996,0.9684,0.8084,0.974,0.1916,0,0,0.0119090473498017,0.00520134004210888,100,0,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_05",0.2
"7",0.0496,0.1784,0.4244,0.1712,0.4244,0,2,-0.00914640662521203,-0.00201384335554191,100,0,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_05",0.2
"8",1,0.9852,0.8472,0.9924,0.1528,0,1,0.0147756010956836,0.00617388385057382,100,0,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_05",0.2
"9",0.9988,0.974,0.82,0.98,0.18,0,4,0.0191531856393085,0.00857005673600769,100,0,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_05",0.2
"10",1,1,0.996,1,0.004,0,0,0.0420131523388882,0.0226389991221173,100,0,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_05",0.2
"11",0.42,0.374,0.3432,0.3824,0.3432,0,1,-0.00214086793173647,-0.00299169218096916,100,0,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_05",0.2
"12",0.0024,0.0152,0.0608,0.0084,0.0608,0,0,-0.019978135136993,-0.0128021940276107,100,0,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_05",0.2
"13",0,4e-04,0.1136,8e-04,0.1136,0,144,-0.0338844277478618,-0.0124726903443558,100,0,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_05",0.2
"14",4e-04,0.0092,0.1096,0.0028,0.1096,0,0,-0.0221826980707842,-0.00971387623902803,100,0,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_05",0.2
"15",0.1056,0.1792,0.2992,0.1824,0.2992,0,0,-0.00838354974979203,-0.00484645994733148,100,0,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_05",0.2
"16",0,0.0012,0.0556,0.0012,0.0556,0,0,-0.0300773788095663,-0.0150937961848264,100,0,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_05",0.2
"17",0.9984,0.9732,0.786,0.9728,0.214,0,0,0.0193115938151262,0.00765377333890113,100,0,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_05",0.2
"18",0,4e-04,0.0424,4e-04,0.0424,0,0,-0.0390754920251525,-0.0191826620375896,100,0,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_05",0.2
"19",0.3548,0.538,0.7032,0.5336,0.2968,0,0,0.000778131794466472,0.00471279054697036,100,0,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_05",0.2
"20",0.1152,0.1832,0.2816,0.184,0.2816,0,0,-0.00882350602664136,-0.00549970995680969,100,0,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_05",0.2
