"","p_ab_c_ab","p_ab_c_mean","p_ab_neg_c_ab","p_ab_neg_c_mean","p_boot_c_ab","p_boot_c_mean","p_boot_neg_c_ab","p_boot_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","boot_ab","X2.5.","X97.5.","X0.","X25.","X50.","X75.","X100.","J","a","b","boottype","c_p","mc.cores","n_j","niter","nperms","nreps","optimizer","permtype","reform","save_dir","simtype","simulation_name","theta_ab"
"150",4e-04,0.0364,0.5032,0.032,0.0364,0.4844,0.9624,0.5032,0.5032,0,0,-0.0242968058656876,-0.000188943694852432,-0.0262388396279669,0.0258743018602645,-0.0494616135198025,-0.00876342464346371,8.04350493050055e-05,0.00839932541852614,0.0580256143383189,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"151",0.9964,0.9096,0.4964,0.9092,0.9096,0.4972,0.088,0.4964,0.4964,0,9,0.0201000136432722,-0.000126529331923427,-0.0307843726151223,0.0291164356955126,-0.0789909055355529,-0.0102426182244569,-0.000128305531067294,0.0101919990934907,0.0610315471477618,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"152",0.0484,0.1676,0.4424,0.1612,0.1676,0.4188,0.7372,0.4424,0.4424,0,0,-0.0207328636714752,-0.00352939498155737,-0.0485763432176661,0.0394906129041351,-0.0907349087635714,-0.018304467272151,-0.00330154481379238,0.0106056846827328,0.0964420426921982,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"153",0.9992,0.9532,0.5848,0.9596,0.9532,0.5924,0.0984,0.5848,0.4152,0,0,0.0246687983157653,0.00304881654655092,-0.0239988511535129,0.0323735404504693,-0.0574743350721435,-0.00618130990765868,0.00264705841714682,0.0122383130576401,0.0591950837551514,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"154",0.1376,0.306,0.5176,0.3004,0.306,0.522,0.7204,0.5176,0.4824,0,0,-0.00692982571652649,0.000612139169596939,-0.0266774443507163,0.0288192003534359,-0.0499234035814681,-0.00881259230633906,0.000656188075777095,0.00960934153380615,0.0560862554856518,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"155",0.8108,0.7176,0.5844,0.696,0.7176,0.584,0.4384,0.5844,0.4156,0,0,0.00833844200780973,0.0030968736619267,-0.0270704668007724,0.0340044543375777,-0.0460260981469175,-0.00764929900287253,0.00321311926156683,0.0129569644070633,0.0610988791977881,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"156",0.906,0.7412,0.5144,0.7452,0.7412,0.4924,0.2652,0.5144,0.4856,0,0,0.0129088565180346,0.000210451710425862,-0.0410549931426969,0.038863237666095,-0.134192411565096,-0.0130517037420068,0.000735288797903639,0.0136241343754377,0.0744140494154618,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"157",0.1804,0.3188,0.4888,0.3168,0.3188,0.492,0.6664,0.4888,0.4888,0,0,-0.00862317410367959,-0.000366262820897559,-0.0385953885583551,0.0371268641248694,-0.071595107159,-0.012995055662956,-0.000475800502968175,0.0119396617686069,0.0773584108304723,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"158",0.838,0.7224,0.5508,0.708,0.7224,0.5504,0.3748,0.5508,0.4492,0,0,0.00987148332737448,0.00220908853494216,-0.0358607860774165,0.0390544898225426,-0.0652087365782386,-0.00982104604918368,0.00237673844640668,0.0134591640364705,0.0713631519453114,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"159",0.974,0.848,0.5284,0.8392,0.848,0.5032,0.17,0.5284,0.4716,0,0,0.0138177130623556,0.000540032712411863,-0.0258535421079552,0.0278467495235577,-0.0535821263535339,-0.00873027953793535,0.000961624891250257,0.00958667367084962,0.0462676581380274,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"160",0.9656,0.8208,0.5044,0.8228,0.8208,0.5092,0.1892,0.5044,0.4956,0,0,0.0197302667602283,0.00034748024731615,-0.0434397794457946,0.0439756556135885,-0.0743642113453889,-0.0138983853653715,0.000259266065148026,0.0144762264318695,0.0712317959180165,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"161",0.0016,0.0748,0.5576,0.0824,0.0748,0.5824,0.9632,0.5576,0.4424,0,0,-0.0296192548905988,0.00361263951660169,-0.0366371694444646,0.048205607154614,-0.0935586843177223,-0.0107307067023793,0.00312663293781397,0.0170793703095986,0.0977061574368513,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"162",1,0.9976,0.4948,0.9956,0.9976,0.4896,0.0024,0.4948,0.4948,0,0,0.0566754842105625,-0.000277914848360073,-0.042079611350683,0.0384492608398968,-0.0712220553051939,-0.0131287938981677,-0.000170047262366561,0.0136594008803643,0.0716997861143417,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"163",0.6304,0.5288,0.4424,0.5532,0.5288,0.4268,0.3432,0.4424,0.4424,0,0,0.00151860843408837,-0.00247933325774175,-0.0364427507888853,0.0305691056222813,-0.0622770955999683,-0.0128472423601987,-0.00214219978966797,0.00829340962422511,0.0571223987102906,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"164",0.296,0.2788,0.2732,0.2912,0.2788,0.2648,0.2564,0.2732,0.2732,0,0,-0.0103657983583079,-0.0113766587557695,-0.0497141130260168,0.0251354105748009,-0.0889324109458995,-0.0236858142669779,-0.0114139897995939,0.00141435743106633,0.0626056912621039,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"165",0.3888,0.442,0.486,0.4288,0.442,0.49,0.5396,0.486,0.486,0,0,-0.00256586763472245,-0.000430682770558704,-0.0348494767541104,0.0344206385993626,-0.0626990281962354,-0.0117202424025527,-0.000499510915153846,0.0103648342672298,0.0693407332740014,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"166",0.03,0.1144,0.3764,0.1216,0.1144,0.362,0.7168,0.3764,0.3764,0,0,-0.0233574929622027,-0.00619202301895034,-0.0487951983952505,0.0344855288926568,-0.0882579943697933,-0.0190002329384311,-0.0061463664014863,0.00684801567510311,0.0608174512426261,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"167",0.988,0.8732,0.476,0.8724,0.8732,0.4812,0.1088,0.476,0.476,0,0,0.0187220892307302,-0.00087122711588425,-0.0332484420965247,0.0311626174176102,-0.0550631226795817,-0.0113157989078427,-0.000830962669745354,0.00960031726026095,0.0729996428810011,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"168",0.1196,0.3052,0.5348,0.3,0.3052,0.544,0.77,0.5348,0.4652,0,0,-0.0134578305378115,0.00263315640533478,-0.0498770483710736,0.054824550198081,-0.102542922224698,-0.0145673550483863,0.00256713954858499,0.0197524403652165,0.107066231811571,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
