"","p_c_ab","p_c_mean","p_neg_c_ab","p_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","permtype","reform","save_dir","simulation_name","theta_ab"
"1",0.1432,0.1292,0.1116,0.1268,0.1116,0,0,-0.011845928676475,-0.0125521842552163,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_01",0.2
"2",0.3088,0.192,0.11,0.1952,0.11,0,0,-0.00644745567332229,-0.00904078450133749,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_01",0.2
"3",0.9432,0.8688,0.7364,0.868,0.2636,0,0,0.0113807968750162,0.00624715575973706,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_01",0.2
"4",1,0.9764,0.5008,0.9756,0.4992,0,0,0.0185740675977081,0.000250216711285055,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_01",0.2
"5",0.9928,0.9596,0.8448,0.964,0.1552,0,0,0.0188464362537986,0.0100275606734905,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_01",0.2
"6",0.0812,0.2224,0.4656,0.2224,0.4656,0,0,-0.00776180659141035,-0.000942146016035523,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_01",0.2
"7",1,0.9924,0.9328,0.996,0.0672,0,0,0.031852594810964,0.0186932008715743,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_01",0.2
"8",0.4112,0.5552,0.682,0.542,0.318,0,0,0.00119027256864904,0.00473198536619473,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_01",0.2
"9",0,0.0024,0.274,0,0.274,0,0,-0.033432682489455,-0.00630178129622738,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_01",0.2
"10",0.1388,0.4244,0.7916,0.4324,0.7916,0,0,-0.00173276568962381,0.00867008782865528,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_01",0.2
"11",0.9604,0.81,0.4988,0.804,0.5012,0,3,0.0095735263067567,1.59250956344986e-05,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_01",0.2
"12",0.38,0.296,0.2176,0.2872,0.2176,0,0,-0.00536338180426387,-0.00756875630414494,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_01",0.2
"13",0.9772,0.8624,0.5248,0.868,0.4752,0,0,0.00823624959490195,0.000427734102972143,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_01",0.2
"14",0.996,0.9952,0.9964,0.998,0.0036,0,1,0.0261954677385771,0.0247913347542591,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_01",0.2
"15",0.8388,0.8344,0.8376,0.844,0.1624,0,0,0.0110984697780488,0.0108293535157351,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_01",0.2
"16",0.5756,0.598,0.6212,0.5988,0.3788,0,0,0.00208910911535558,0.00247477156285192,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_01",0.2
"17",0.8284,0.8328,0.8468,0.8432,0.1532,0,121,0.0134579680018579,0.0136756678746872,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_01",0.2
"18",0.0156,0.0468,0.1112,0.0404,0.1112,0,0,-0.0197353182236799,-0.014126260724931,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_01",0.2
