"","p_c_ab","p_c_mean","p_neg_c_ab","p_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","permtype","reform","save_dir","simulation_name","theta_ab"
"1",0.932,0.5572,0.1192,0.568,0.8808,0,2423,0.00120409617274629,-0.00921857831905111,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_11",0.2
"2",0.1088,0.1536,0.2188,0.1452,0.2188,0,2424,-0.00752485472769444,-0.0056757431953434,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_11",0.2
"3",0,4e-04,0.7468,0,0.7468,0,2430,-0.029338630034109,0.00384461904805809,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_11",0.2
"4",0,8e-04,0.6696,4e-04,0.6696,0,2428,-0.0272682653041446,0.00333290506280766,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_11",0.2
"5",0.5872,0.7032,0.8032,0.6952,0.1968,0,2437,0.00483177930969759,0.00788276255695351,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_11",0.2
"6",1,0.998,0.4188,0.9928,0.5812,0,2425,0.028076755280576,-0.0020379018400871,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_11",0.2
"7",0.9612,0.306,0.0016,0.3596,0.0016,0,2422,-0.00330802733055001,-0.0184525377573619,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_11",0.2
"8",0.9652,0.9904,1,0.998,0,0,2431,0.0291933818587056,0.0357159098306197,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_11",0.2
"9",0.9948,0.6488,0.0484,0.6644,0.9516,0,2415,0.00373879332897085,-0.0149309365104673,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_11",0.2
"10",1,1,0.7256,0.9996,0.2744,0,2426,0.0365479742492649,0.00608322201242327,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_11",0.2
"11",0.964,0.9044,0.7668,0.9352,0.2332,0,2418,0.00571496933918024,0.00290172136714739,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_11",0.2
"12",0.0012,0.052,0.7152,0.0544,0.7152,0,2425,-0.0116816981955469,0.00406132108310322,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_11",0.2
"13",0.0016,0.1624,0.786,0.1504,0.786,0,2425,-0.00794018118124179,0.00637164658242815,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_11",0.2
"14",0.8448,0.3308,0.0256,0.3744,0.0256,0,2442,-0.00258164138140083,-0.0119382117943259,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_11",0.2
"15",0.9956,0.9892,0.994,0.9988,0.006,0,2430,0.0241173545937839,0.0201667045077869,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_11",0.2
"16",0,4e-04,0.0148,0,0.0148,0,2417,-0.0463941561048853,-0.0227448430140383,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_11",0.2
"17",1,1,1,1,0,0,2448,0.0477665004964506,0.0411000917138094,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_11",0.2
"18",0.7344,0.9272,0.9984,0.9568,0.0016,0,2427,0.0123273451015388,0.0202568879715064,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_11",0.2
"19",0.9828,0.6244,0.0788,0.6524,0.9212,0,2423,0.00367095146339231,-0.0141826719051621,100,0.2,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_11",0.2
