"","p_ab_c_ab","p_ab_c_mean","p_ab_neg_c_ab","p_ab_neg_c_mean","p_boot_c_ab","p_boot_c_mean","p_boot_neg_c_ab","p_boot_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","boot_ab","X2.5.","X97.5.","X0.","X25.","X50.","X75.","X100.","J","a","b","boottype","c_p","mc.cores","n_j","niter","nperms","nreps","optimizer","permtype","reform","save_dir","simtype","simulation_name","theta_ab"
"1",0.1368,0.2012,0.2828,0.2032,0.2012,0.2708,0.3624,0.2828,0.2828,0,0,-0.0157872858783851,-0.0112664536418001,-0.0502203267404126,0.0261255038621417,-0.074634813202253,-0.0236595200811322,-0.0110953657513072,0.00179637824290709,0.0574719297491355,100,0,0.2,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_8",0.2
"2",0.9852,0.9556,0.8992,0.9716,0.9556,0.8996,0.76,0.8992,0.1008,0,0,0.0338632237172757,0.023542110592492,-0.0116799127695597,0.0638682197272114,-0.035108994916107,0.0110138045130895,0.0227483139353446,0.0353949988958047,0.0862358464149055,100,0,0.2,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_8",0.2
"3",0.36,0.4044,0.4652,0.4204,0.4044,0.4604,0.5204,0.4652,0.4652,0,5,-0.00402631773389278,-0.00170391249018796,-0.0419783407260253,0.0371964833360628,-0.0833307426443375,-0.0138257797384212,-0.00141380610586827,0.0110397007668231,0.0641524947852541,100,0,0.2,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_8",0.2
"4",0.7516,0.6632,0.6004,0.6764,0.6632,0.5796,0.5076,0.6004,0.3996,0,0,0.009490322280538,0.00466573793266494,-0.039199283316404,0.0496396394360532,-0.0808707957828734,-0.0100336191283987,0.00524154315787225,0.0189017568014315,0.114461717076558,100,0,0.2,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_8",0.2
"5",0.8044,0.5768,0.3624,0.6016,0.5768,0.3416,0.1544,0.3624,0.3624,0,0,0.0051710192060506,-0.00858541782542197,-0.0543069452105969,0.0369089920861957,-0.107809891945326,-0.0235588600819024,-0.00809673005616814,0.00592748652365053,0.0783699250681739,100,0,0.2,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_8",0.2
"6",0.5916,0.7348,0.8488,0.7212,0.7348,0.8416,0.9232,0.8488,0.1512,0,1,0.0114452488738057,0.0190992032146553,-0.0188359538220741,0.059799074611777,-0.0492299836746608,0.00613495905681269,0.0186046644935354,0.0314835620009441,0.100543143068347,100,0,0.2,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_8",0.2
"7",0.9736,0.8356,0.4688,0.8404,0.8356,0.4736,0.1304,0.4688,0.4688,0,0,0.0210864136518783,-0.00157040933952211,-0.0446794419532823,0.0431775932212804,-0.0801002393921731,-0.0158604356042831,-0.00171104103458965,0.0119949832550866,0.0814573014006293,100,0,0.2,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_8",0.2
"8",0.4168,0.3624,0.2996,0.3596,0.3624,0.31,0.2564,0.2996,0.2996,0,0,-0.00807494680410432,-0.0113427418985452,-0.0548967685724676,0.031778345529618,-0.119851804074665,-0.0259133271509907,-0.0114585099553654,0.00357446791994849,0.0769061978063159,100,0,0.2,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_8",0.2
"9",0.0116,0.084,0.3952,0.0912,0.084,0.392,0.7904,0.3952,0.3952,0,0,-0.045436099352256,-0.0090278146753061,-0.0758230610800096,0.0583596881261733,-0.13580272386101,-0.0324345667371472,-0.00882532920789381,0.0139892844049988,0.115702921660268,100,0,0.2,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_8",0.2
"10",0.3244,0.506,0.6684,0.4888,0.506,0.6904,0.8152,0.6684,0.3316,0,0,-0.000161650161378237,0.00802049128137613,-0.0276414394572759,0.0468219449686608,-0.0543972333318591,-0.00398748125965069,0.00750182004480423,0.0193347590475971,0.0909423362508693,100,0,0.2,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_8",0.2
"11",0.0516,0.1104,0.208,0.1068,0.1104,0.2112,0.344,0.208,0.208,0,0,-0.0310884800475998,-0.0208649203047794,-0.0708542262071602,0.0279850040765574,-0.132672112814115,-0.0382786952574679,-0.0198357088385924,-0.00337439731191066,0.0596369897008335,100,0,0.2,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_8",0.2
"12",0.8796,0.5152,0.1488,0.5348,0.5152,0.1468,0.014,0.1488,0.1488,0,0,0.00173098455903058,-0.0274657222529471,-0.0805721188548747,0.0233793717960004,-0.118948897601361,-0.0452128429486886,-0.0267535865707751,-0.00967569677262983,0.0654452160556053,100,0,0.2,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_8",0.2
"13",0.6136,0.6816,0.7452,0.6868,0.6816,0.7396,0.796,0.7452,0.2548,0,0,0.0117662907767407,0.0161997398060847,-0.0318451752931435,0.0649476875609824,-0.0804052415365362,-0.000380185921857025,0.0159773010256795,0.0332697746209359,0.102485085885126,100,0,0.2,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_8",0.2
"14",0.9808,0.8432,0.4576,0.8432,0.8432,0.4536,0.1112,0.4576,0.4576,0,0,0.027446232272574,-0.00321233172337835,-0.0586530923419553,0.0508896681416932,-0.139062493637262,-0.0209822254282621,-0.0028318354627843,0.0150957087344916,0.0970972385243128,100,0,0.2,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_8",0.2
"15",0.9564,0.7244,0.274,0.7228,0.7244,0.276,0.0436,0.274,0.274,0,0,0.0149626914107994,-0.0150645528349807,-0.0679207003954032,0.0361545132046883,-0.114451187808765,-0.0320089512207837,-0.0150805055162707,0.00218900716437185,0.086612247235487,100,0,0.2,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_8",0.2
"16",0.9724,0.8924,0.7028,0.9016,0.8924,0.7148,0.4496,0.7028,0.2972,0,10,0.0181208590068821,0.00823403679367152,-0.0207815920629692,0.0368998358039206,-0.0486718094779049,-0.00175887280509653,0.0079131922392045,0.018164655845441,0.0812434588388693,100,0,0.2,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_8",0.2
"17",0.8912,0.78,0.6108,0.786,0.78,0.6152,0.4092,0.6108,0.3892,0,0,0.0152266263487749,0.00545141872047401,-0.0346961998766025,0.04488750171787,-0.0631221937441884,-0.00749460691716809,0.00520282260255236,0.0186258111915356,0.091373366787851,100,0,0.2,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_8",0.2
"18",0.926,0.838,0.6992,0.8484,0.838,0.7132,0.4964,0.6992,0.3008,0,0,0.0198392702574025,0.0101161286706278,-0.0275830560585167,0.0508537259981065,-0.0545719671394415,-0.00317217788456092,0.00954067056435273,0.0226926400123553,0.107841504497691,100,0,0.2,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_8",0.2
"19",0.9576,0.8096,0.5204,0.8088,0.8096,0.5156,0.2184,0.5204,0.4796,0,0,0.0200039303172811,0.00111419349664101,-0.0441090145732468,0.0480212279460705,-0.085170628825356,-0.0148553858023455,0.00109651954464478,0.0161109444556394,0.0811747838519557,100,0,0.2,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_8",0.2
"20",0.0116,0.218,0.782,0.2188,0.218,0.7808,0.9884,0.782,0.218,0,9,-0.015233253804869,0.0152070106824563,-0.0246115008691338,0.0556048595526932,-0.0486499457999642,0.00222988646070162,0.0153695709175529,0.0285644528022325,0.116332402210571,100,0,0.2,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_8",0.2
"21",0.9376,0.8188,0.5976,0.8188,0.8188,0.5972,0.3444,0.5976,0.4024,0,1,0.014904700287344,0.00412620634052498,-0.0301076902517434,0.0364200528594849,-0.0651647132566101,-0.00697547389228765,0.00415234878772039,0.0152702245534653,0.0631318118542893,100,0,0.2,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_8",0.2
"22",0.0944,0.1492,0.2288,0.1532,0.1492,0.214,0.3088,0.2288,0.2288,0,0,-0.0239806999702949,-0.0178246427558618,-0.0672883848736875,0.0267879663449443,-0.112954760351336,-0.0328771891847215,-0.0177444839324069,-0.00185007998478436,0.0642077728908564,100,0,0.2,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_8",0.2
"23",0.016,0.1712,0.5836,0.1668,0.1712,0.5912,0.9144,0.5836,0.4164,0,5,-0.018966652011842,0.00428447881879174,-0.0337323192389933,0.0453664055384736,-0.0732668554322664,-0.00957203160342372,0.0041616397764599,0.0174496417592492,0.0722625045423141,100,0,0.2,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_8",0.2
