"","p_ab_perm_mean_c","p_ab_perm_ab_c","p_opsign_ci","n_conv_warn","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","save_dir","simulation_name","theta_ab"
"1",1,1,0,0,0.149101561231574,0.153793902689487,100,0.2,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_13",0.2
"2",1,1,0,0,0.184649023983953,0.177428478275713,100,0.2,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_13",0.2
"3",1,1,0,0,0.25632533717246,0.264601125898127,100,0.2,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_13",0.2
"4",1,1,0,0,0.23040433524913,0.210864294382269,100,0.2,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_13",0.2
"5",1,1,4e-04,0,0.153519554119583,0.157759196598518,100,0.2,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_13",0.2
"6",1,1,0,0,0.212262557351627,0.210815001015215,100,0.2,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_13",0.2
"7",1,1,0,0,0.22755126167017,0.201929594962756,100,0.2,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_13",0.2
"8",1,1,0,0,0.340110407465954,0.357234223861048,100,0.2,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_13",0.2
"9",1,1,0,0,0.204697567182801,0.215735126504093,100,0.2,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_13",0.2
"10",1,1,0,0,0.263378969574539,0.23308878940965,100,0.2,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_13",0.2
"11",0.842,0.7776,0.1148,0,0.0340654830024026,0.0414457352234887,100,0.2,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_13",0.2
"12",1,1,0,0,0.185617625775095,0.202506995816352,100,0.2,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_13",0.2
"13",0.9992,0.9992,0,0,0.0941380716115891,0.0947050412017338,100,0.2,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_13",0.2
