"","p_c_ab","p_c_mean","p_neg_c_ab","p_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","permtype","reform","save_dir","simulation_name","theta_ab"
"1",0.9916,0.9916,0.9912,0.9916,0.0088,0,2413,0.0663496772204059,0.0657088624282056,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"2",0.5236,0.4004,0.2956,0.4152,0.2956,0,2429,-0.00780412965054884,-0.0179756584811725,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"3",0.3616,0.666,0.8856,0.6632,0.1144,0,2406,0.0128943194728425,0.0367250752882186,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"4",0.0796,0.1096,0.1408,0.1088,0.1408,0,2426,-0.0390209697164406,-0.0339605020092136,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"5",0.6336,0.602,0.5604,0.592,0.4396,0,2425,0.00861816693529812,0.00573270793701057,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"6",0.95,0.8056,0.5176,0.802,0.4824,0,2416,0.0303320661781819,0.00193187344590371,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"7",0.9272,0.9104,0.8988,0.9156,0.1012,0,2414,0.0507332606576826,0.0473940886007054,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"8",0.9768,0.9776,0.9808,0.9792,0.0192,0,2410,0.0669174222467249,0.0676353065460211,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"9",0.9812,0.8912,0.6504,0.8924,0.3496,0,2410,0.0464238679855184,0.0148197522810085,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"10",0.9472,0.9032,0.8348,0.9036,0.1652,0,2418,0.0467161829671576,0.0347661220343561,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"11",0.1236,0.0556,0.0244,0.0608,0.0244,0,2400,-0.0534528104003225,-0.0675700132610635,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"12",0.0976,0.1508,0.2228,0.1472,0.2228,0,2426,-0.0345284318740685,-0.024918239429836,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"13",0.8452,0.8868,0.9272,0.89,0.0728,0,2414,0.0372286233796106,0.0432947753848997,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"14",0.9604,0.7572,0.3508,0.7568,0.6492,0,2420,0.024282041107052,-0.0132177697513978,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"15",0.0812,0.302,0.644,0.3008,0.644,0,2425,-0.0143709935375819,0.0103750493321526,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"16",0.8204,0.774,0.708,0.7728,0.292,0,2409,0.0249511251871545,0.0182770750816406,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"17",0.4036,0.3276,0.2652,0.3364,0.2652,0,2424,-0.013550504958858,-0.0197307715954603,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"18",0.7548,0.788,0.8132,0.7832,0.1868,0,2397,0.0257362495380376,0.0289530201604564,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"19",0.404,0.332,0.27,0.3292,0.27,0,2429,-0.0145132130910931,-0.0208526244404865,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"20",0.8624,0.8596,0.8588,0.8604,0.1412,0,2424,0.0365372360546007,0.0360484523031763,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"21",0.9832,0.896,0.6872,0.8836,0.3128,0,2431,0.041966175434232,0.0150728082931749,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"22",0.9396,0.9552,0.9672,0.9564,0.0328,0,2432,0.0660055672867638,0.0711437469206461,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"23",0.5988,0.6512,0.7028,0.6472,0.2972,0,2410,0.0103119059830823,0.0139221720511471,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"24",0.0016,0.0152,0.0644,0.0164,0.0644,0,2407,-0.0812399589783738,-0.0594132669614883,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"25",0.9116,0.7064,0.4204,0.7152,0.5796,0,2421,0.0201736924271921,-0.00787485436466557,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"26",0.7024,0.578,0.4764,0.5904,0.5236,0,2427,0.0091179139047113,-0.00334284874218112,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"27",0.1528,0.09,0.0488,0.086,0.0488,0,2415,-0.0428164145205838,-0.0530593057278966,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"28",0.0336,0.0212,0.0116,0.0212,0.0116,0,2431,-0.0664321369534119,-0.0725579037390078,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"29",0.8976,0.8588,0.8268,0.8672,0.1732,0,2428,0.0321877858078827,0.0266889625644085,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"30",0.2904,0.3504,0.4008,0.3392,0.4008,0,2411,-0.0137828025223644,-0.00808226474453924,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"31",0.4544,0.422,0.3936,0.4292,0.3936,0,2396,-0.00650184218579181,-0.00928563253671353,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"32",0.0052,0.0508,0.2228,0.0524,0.2228,0,2431,-0.0412235086197611,-0.0187273311184183,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"33",0.0964,0.212,0.3876,0.21,0.3876,0,2421,-0.0199973476610657,-0.00703788498342755,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"34",0.4232,0.6504,0.8356,0.6416,0.1644,0,2431,0.0119004447301368,0.0304812887803673,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"35",0.8368,0.8052,0.7776,0.8076,0.2224,0,2434,0.031896520831957,0.0279415390566041,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"36",0.5632,0.6272,0.68,0.6284,0.32,0,2412,0.0120576509055843,0.0173218019577581,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"37",0.04,0.036,0.0332,0.0364,0.0332,0,2403,-0.0641096697190819,-0.065676119581916,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"38",0.0092,0.0228,0.0464,0.0228,0.0464,0,2416,-0.055151447054309,-0.0453980294397537,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"39",0.7652,0.5232,0.3076,0.5452,0.6924,0,2417,0.00271901027836455,-0.0149117902530614,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"40",0.9984,0.9972,0.9968,0.9984,0.0032,0,2416,0.0921269087249935,0.0840422934225622,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"41",0.3364,0.582,0.814,0.58,0.186,0,2436,0.00659734236205324,0.0263846204787829,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"42",0.9976,0.9928,0.986,0.994,0.014,0,2430,0.0846927999644834,0.0720656209254637,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
"43",0.0252,0.1992,0.6288,0.1924,0.6288,0,2450,-0.0339256727627503,0.0130437637479614,100,0.8,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_17",0.2
