"","p_c_ab","p_c_mean","p_neg_c_ab","p_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","permtype","reform","save_dir","simulation_name","theta_ab"
"1",0,0,0.1424,0,0.1424,0,2437,-0.0934559301009409,-0.0316372936586338,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_19",0.2
"2",0.0768,0.38,0.806,0.3928,0.806,0,2429,-0.00874160831446224,0.0262269501653471,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_19",0.2
"3",0.8012,0.6556,0.4928,0.6544,0.5072,0,2432,0.013523468026524,-0.000863097095844177,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_19",0.2
"4",8e-04,0.0016,0.0024,4e-04,0.0024,0,2437,-0.115872153298399,-0.10397055705956,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_19",0.2
"5",0.0584,0.1552,0.3144,0.1516,0.3144,0,2430,-0.030819855414139,-0.0146058969492453,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_19",0.2
"6",0.986,0.9748,0.9464,0.9752,0.0536,0,2423,0.0500431086418818,0.0417716335623414,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_19",0.2
"7",0.5648,0.378,0.2268,0.3816,0.2268,0,2431,-0.00874945921759149,-0.0219838860709494,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_19",0.2
"8",1,1,0.9976,1,0.0024,0,2437,0.101006605026547,0.0634907426223597,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_19",0.2
"9",0.5844,0.7544,0.8772,0.7632,0.1228,0,2439,0.0210892114739671,0.0353566144006635,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_19",0.2
"10",0.9996,0.9904,0.8948,0.9892,0.1052,0,2423,0.0799277325343432,0.0445977122346485,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_19",0.2
