"","p_c_ab","p_c_mean","p_neg_c_ab","p_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","reform","save_dir","simulation_name","theta_ab"
"1",0.61,0.4036,0.2808,0.526,0.2808,0,2384,-0.000310512813185594,-0.00182317522211927,100,0,0,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_15",0.2
"2",0,0,0.2544,0,0.2544,0,2365,-0.0324977080344619,-0.00174562918801889,100,0,0,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_15",0.2
"3",0,0,0.5184,0.0016,0.5184,0,2396,-0.00812014186294364,5.02006862733777e-05,100,0,0,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_15",0.2
"4",0.6284,0.6128,0.516,0.544,0.484,0,2377,0.000130363062276801,9.33609001695358e-05,100,0,0,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_15",0.2
"5",8e-04,0.0356,0.544,0.04,0.544,0,2365,-0.00805549404009848,0.000425932700048741,100,0,0,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_15",0.2
"6",0.9992,0.9876,0.6136,0.9932,0.3864,0,2410,0.00598336004477994,0.000589643094396797,100,0,0,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_15",0.2
"7",0,0,0.3756,0,0.3756,0,2397,-0.0134541151332681,-0.000578891235776523,100,0,0,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_15",0.2
"8",0.6204,0.764,0.8776,0.7292,0.1224,0,2393,0.0044604401457506,0.00734294553957054,100,0,0,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_15",0.2
"9",0.9988,0.9876,0.9132,0.9992,0.0868,0,2328,0.0111410121035506,0.00429845523332285,100,0,0,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_15",0.2
"10",0,0,0.4812,0,0.4812,0,2383,-0.0184546966107835,-0.000159718136996179,100,0,0,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_15",0.2
"11",0,0.0012,0.2492,4e-04,0.2492,0,2391,-0.013181790663664,-0.00190556870290642,100,0,0,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_15",0.2
"12",0.9728,0.9416,0.9348,0.9892,0.0652,0,2370,0.00721836131916289,0.0050666517967202,100,0,0,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_15",0.2
"13",1,0.9868,0.3044,0.98,0.6956,0,2345,0.0102537432692519,-0.00219935715899472,100,0,0,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_15",0.2
"14",1,1,0.18,1,0.82,0,2323,0.0509464233916907,-0.00310418016737705,100,0,0,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_15",0.2
"15",1,0.9944,0.9572,1,0.0428,0,2374,0.0148376988771617,0.00645137223646341,100,0,0,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_15",0.2
"16",1,0.9964,0.636,0.9992,0.364,0,2406,0.00791456118292184,0.000677670984286369,100,0,0,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_15",0.2
"17",0.6384,0.7348,0.8012,0.642,0.1988,0,2410,0.00146834315599239,0.00245750417617132,100,0,0,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_15",0.2
"18",1,1,0.8032,1,0.1968,0,2385,0.0530568281094472,0.00273183513322983,100,0,0,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_15",0.2
"19",0,4e-04,0.9692,0.0204,0.9692,0,2402,-0.012593305838507,0.0075148490365348,100,0,0,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_15",0.2
"20",0,0,0.5016,0,0.5016,0,2412,-0.0301124057016147,2.22916842326072e-06,100,0,0,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_15",0.2
"21",0.994,0.9852,0.9884,0.9976,0.0116,0,2384,0.0184588349587202,0.0147320525109895,100,0,0,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_15",0.2
"22",0,0,0.5596,0,0.5596,0,2378,-0.0173499790186075,0.000300656517196335,100,0,0,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_15",0.2
"23",0,4e-04,0.2808,0,0.2808,0,2306,-0.0204961271669727,-0.00262575167677003,100,0,0,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_15",0.2
"24",0.9972,0.9764,0.7564,0.9944,0.2436,0,2387,0.00803526938170696,0.00204414261459425,100,0,0,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_15",0.2
