"","p_c_ab","p_c_mean","p_neg_c_ab","p_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","reform","save_dir","simulation_name","theta_ab"
"1",0.0724,0.1516,0.3052,0.152,0.3052,0,1,-0.0106628060271763,-0.00559285037528053,100,0,0.2,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_03",0.2
"2",0.9936,0.7672,0.1508,0.768,0.8492,0,0,0.00791110452681049,-0.0110624139604957,100,0,0.2,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_03",0.2
"3",0.0012,0.0276,0.2508,0.0208,0.2508,0,0,-0.0170969864444824,-0.00601337476596094,100,0,0.2,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_03",0.2
"4",0.5772,0.5684,0.5412,0.5528,0.4588,0,0,0.00195325468635141,0.00167795500230338,100,0,0.2,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_03",0.2
"5",0.022,0.0652,0.1712,0.0564,0.1712,0,0,-0.013419303976463,-0.00824843162099352,100,0,0.2,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_03",0.2
"6",0.5224,0.7444,0.9076,0.752,0.0924,0,0,0.00843015541324676,0.0166152011384523,100,0,0.2,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_03",0.2
"7",0.8748,0.7508,0.564,0.7428,0.436,0,1,0.00661084297424529,0.00158901402856572,100,0,0.2,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_03",0.2
"8",0.0324,0.1216,0.302,0.1192,0.302,0,0,-0.00908228508983038,-0.00389516465016014,100,0,0.2,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_03",0.2
"9",0.5832,0.5688,0.5396,0.5568,0.4604,0,0,0.00224552592996932,0.0017883337352237,100,0,0.2,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_03",0.2
"10",0.1304,0.2128,0.3112,0.2096,0.3112,0,0,-0.00829596589690218,-0.00501221621707693,100,0,0.2,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_03",0.2
"11",0.0352,0.146,0.3768,0.14,0.3768,0,0,-0.0124612408243408,-0.00358001167480939,100,0,0.2,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_03",0.2
"12",1,0.996,0.9116,0.9996,0.0884,0,0,0.043074987448211,0.0207652200244538,100,0,0.2,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_03",0.2
"13",1,0.9996,0.974,1,0.026,0,61,0.0470284290891264,0.0276337992987207,100,0,0.2,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_03",0.2
"14",0.0452,0.066,0.0792,0.054,0.0792,0,31,-0.0143306933566356,-0.012467268360725,100,0,0.2,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_03",0.2
"15",0.9596,0.962,0.9768,0.9728,0.0232,0,0,0.0236420397940871,0.0242018601649238,100,0,0.2,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_03",0.2
"16",0.5316,0.3164,0.1544,0.3296,0.1544,0,0,-0.00603887875573839,-0.0132156845668795,100,0,0.2,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_03",0.2
"17",0.8316,0.7468,0.6512,0.7476,0.3488,0,1,0.00545927947471342,0.00313020076029409,100,0,0.2,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_03",0.2
"18",1,0.9996,0.974,0.9992,0.026,0,3,0.0481182702228631,0.0260131986467689,100,0,0.2,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_03",0.2
"19",0.9992,0.9824,0.8672,0.9924,0.1328,0,11,0.0174062333457731,0.00822561087936768,100,0,0.2,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_03",0.2
"20",0.6868,0.3264,0.0956,0.3344,0.0956,0,0,-0.00537944284574752,-0.0169632133406803,100,0,0.2,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_03",0.2
"21",0.9996,0.9924,0.8644,0.9924,0.1356,0,0,0.0321111775077079,0.0145780187694291,100,0,0.2,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_03",0.2
"22",0.14,0.122,0.0864,0.1048,0.0864,0,0,-0.0112432309558802,-0.0121270264023055,100,0,0.2,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_03",0.2
"23",0.2136,0.4716,0.7172,0.4584,0.7172,0,0,-0.0008394877602658,0.00518056417549649,100,0,0.2,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_03",0.2
"24",0.6008,0.5152,0.4156,0.4988,0.5844,0,0,0.000325842567036349,-0.00297288819374559,100,0,0.2,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_03",0.2
