"","p_c_ab","p_c_mean","p_neg_c_ab","p_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","reform","save_dir","simulation_name","theta_ab"
"1",0.94,0.9344,0.9244,0.93,0.0756,0,58,0.0171667479578637,0.0166736218773773,100,0.2,0,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_01",0.2
"2",0.0044,0.0284,0.1664,0.0216,0.1664,0,0,-0.0158729351918731,-0.0078044465629763,100,0.2,0,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_01",0.2
"3",0.3852,0.2504,0.144,0.2548,0.144,0,2,-0.0056513740182864,-0.0088655063924391,100,0.2,0,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_01",0.2
"4",0,8e-04,0.0032,0.0012,0.0032,0,0,-0.0356044043670639,-0.0307021799732812,100,0.2,0,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_01",0.2
"5",0.7764,0.6928,0.5828,0.6816,0.4172,0,21,0.0059185921697459,0.00283458172453175,100,0.2,0,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_01",0.2
"6",0.0484,0.1404,0.3156,0.142,0.3156,0,0,-0.0113514907856123,-0.00516750858857846,100,0.2,0,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_01",0.2
"7",0.9896,0.8944,0.4964,0.9052,0.5036,0,7,0.0120804467993034,0.00026816273448071,100,0.2,0,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_01",0.2
"8",0.9964,0.9792,0.894,0.978,0.106,0,0,0.0208352508904258,0.0125648046784559,100,0.2,0,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_01",0.2
"9",0.9944,0.986,0.9748,0.9888,0.0252,0,0,0.0240210450909988,0.0204021836801686,100,0.2,0,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_01",0.2
"10",0.0012,0.0072,0.0516,0.0088,0.0516,0,490,-0.0300882285688996,-0.0204353512079155,100,0.2,0,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_01",0.2
"11",1,1,0.994,1,0.006,0,0,0.0661887583689308,0.0304818965073584,100,0.2,0,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_01",0.2
"12",0,0.0028,0.0108,0.0024,0.0108,0,5,-0.0284702461746368,-0.0221758138407175,100,0.2,0,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_01",0.2
"13",0.552,0.5696,0.5852,0.5684,0.4148,0,0,0.00138189767002529,0.00168903791494751,100,0.2,0,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_01",0.2
"14",0.1596,0.058,0.0168,0.0636,0.0168,0,29,-0.013788907207679,-0.0187181218420338,100,0.2,0,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_01",0.2
"15",0.0084,0.0256,0.0648,0.022,0.0648,0,0,-0.0241460224484934,-0.0182426732790332,100,0.2,0,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_01",0.2
"16",0.0552,0.0552,0.058,0.0588,0.058,0,44,-0.0204907982820352,-0.0205653043845616,100,0.2,0,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_01",0.2
"17",0.0144,0.0588,0.1688,0.0504,0.1688,0,24,-0.0150029892453,-0.00903724847838593,100,0.2,0,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_01",0.2
"18",0.0248,0.2376,0.744,0.2392,0.744,0,0,-0.00676069929740454,0.00615483683782393,100,0.2,0,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_01",0.2
"19",0.8548,0.9296,0.9752,0.936,0.0248,0,0,0.0183849885168907,0.0238342311407016,100,0.2,0,0,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_01",0.2
