"","p_ab_perm_mean_c","p_ab_perm_ab_c","p_opsign_ci","n_conv_warn","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","save_dir","simulation_name","theta_ab"
"1",0.0248,0.004,0.0852,0,-0.0257305714060776,-0.0177741433833713,100,0,0.2,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_36",0.2
"2",0.5112,0.28,0.2576,0,0.000388437096564298,0.00666733666824147,100,0,0.2,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_36",0.2
"3",0.9912,0.9996,0.0988,0,0.028070421218193,0.0142338425343771,100,0,0.2,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_36",0.2
"4",0.8852,0.9572,0.2768,0,0.01400078262902,0.00712820347664171,100,0,0.2,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_36",0.2
"5",0.0964,0.0196,0.3268,0,-0.0119992032826454,-0.00395728473753611,100,0,0.2,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_36",0.2
"6",0.8828,0.9664,0.284,0,0.0146769946281546,0.0073033082783307,100,0,0.2,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_36",0.2
"7",0.5956,0.4948,0.3208,0,0.00196146300079767,0.0042645941244249,100,0,0.2,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_36",0.2
"8",0.8276,0.8288,0.1704,0,0.0113296498645314,0.0112505622677363,100,0,0.2,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_36",0.2
"9",0.12,0.3436,0.0296,0,-0.0167538194137585,-0.0276042863330663,100,0,0.2,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_36",0.2
"10",0.9784,0.9676,0.0088,0,0.029143431831978,0.0320572045897543,100,0,0.2,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_36",0.2
"11",0.8004,0.8608,0.2804,0,0.0101576283495912,0.00703769195529717,100,0,0.2,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_36",0.2
"12",0.6624,0.8588,0.5664,0,0.00552172475643466,-0.0022873323432491,100,0,0.2,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_36",0.2
"13",8e-04,0.0032,0,0,-0.0452908210913386,-0.0538499941835763,100,0,0.2,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_36",0.2
"14",0.9928,0.9996,0.0552,0,0.0244000046979478,0.0144289272685067,100,0,0.2,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_36",0.2
"15",0.34,0.1484,0.612,0,-0.00557331003032393,0.00376700644410675,100,0,0.2,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_36",0.2
