"","p_ab_perm_mean_c","p_ab_perm_ab_c","p_opsign_ci","n_conv_warn","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","save_dir","simulation_name","theta_ab"
"1",0.9716,0.9444,0.0132,0,0.0675491510413228,0.078612358520656,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"2",1,1,0,0,0.174145281860753,0.164259967007082,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"3",1,1,0,0,0.167858832092863,0.183029107334044,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"4",1,1,0,0,0.144371620554139,0.156969923134866,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"5",1,1,0,0,0.209575204993956,0.205211819110657,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"6",1,1,0,0,0.153312562584854,0.155259833867449,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"7",1,1,0,0,0.189642252027271,0.193612197309522,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"8",1,1,0,0,0.170696722173659,0.169823758887412,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"9",1,1,0,0,0.219085947318988,0.21986547413063,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"10",1,1,0,0,0.185738056250557,0.189520874986027,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"11",1,1,0,0,0.161060175244865,0.170987358677865,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"12",1,1,0,0,0.315735574442082,0.317331235745836,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"13",1,1,0,0,0.162938951643559,0.156441298067957,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"14",1,1,0,0,0.300904717425119,0.298403474248854,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"15",0.9908,0.9932,0.008,0,0.0821832076332698,0.0794080252953122,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"16",1,1,0,0,0.329998289266778,0.332220927751192,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"17",1,1,0,0,0.347948666129755,0.353473233835981,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"18",1,1,0,0,0.303458406577739,0.301237978871632,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"19",0.9992,0.9988,4e-04,0,0.106838326286174,0.113321817863747,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"20",1,1,0,0,0.215724304083942,0.212638578297035,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"21",1,1,0,0,0.320525990712207,0.317629147199114,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"22",1,1,0,0,0.191546759962295,0.185964206025467,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"23",1,1,0,0,0.35138461905978,0.3378351335195,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"24",1,1,0,0,0.137439440743169,0.145779898209811,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"25",1,1,0,0,0.212804933445079,0.202001902613327,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"26",1,1,0,0,0.22144829849343,0.230420033998673,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"27",1,1,0,0,0.119035910328895,0.120459418580202,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"28",1,1,0,0,0.243737648823195,0.231333727357192,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"29",1,1,0,0,0.232728660345767,0.246747510638838,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"30",1,1,0,0,0.308880871554436,0.304135589625285,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"31",1,1,0,0,0.250920583956673,0.260582086510359,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
"32",1,1,0,0,0.132611600494636,0.131914900192355,100,1,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_23",0.2
