"","p_c_ab","p_c_mean","p_neg_c_ab","p_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","permtype","reform","save_dir","simulation_name","theta_ab"
"1",0.7412,0.7784,0.8112,0.774,0.1888,0,0,0.0170013152947105,0.0198688561018795,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"2",0.2108,0.2864,0.3804,0.2892,0.3804,0,0,-0.0154453879518201,-0.00847891656712767,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"3",0.0464,0.0508,0.0544,0.0484,0.0544,0,0,-0.0547234661062346,-0.0534311547196857,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"4",0.9884,0.9904,0.9924,0.9912,0.0076,0,13,0.0632122042357206,0.0648347382363282,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"5",0,0,0.0012,0,0.0012,0,1,-0.110707193395916,-0.0899817727456648,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"6",0.002,0.0012,0,0,0,0,0,-0.0894722062653871,-0.0915921987673044,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"7",0.596,0.682,0.7712,0.6936,0.2288,0,14,0.0137520664946332,0.020289772552966,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"8",0.4764,0.2776,0.1316,0.2792,0.1316,0,0,-0.0170197208957964,-0.0327197585635605,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"9",0.9904,0.9832,0.9744,0.9872,0.0256,0,0,0.0645155113784985,0.0578536592966422,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"10",0.9896,0.972,0.926,0.9704,0.074,0,0,0.0542897679705255,0.0419173930697122,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"11",0.3908,0.3344,0.2792,0.3408,0.2792,0,0,-0.0121812510544552,-0.0170991884789568,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"12",0.0712,0.0716,0.074,0.0728,0.074,0,0,-0.0433439690040889,-0.043109804216579,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"13",0.6664,0.5528,0.4264,0.5556,0.5736,0,0,0.00418587311624779,-0.00588628862318967,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"14",0.0052,0.0032,0.0012,0.0028,0.0012,0,0,-0.0786733233186596,-0.0853761373885164,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"15",0.9656,0.8972,0.75,0.892,0.25,0,0,0.0329030499023171,0.0177989736356001,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"16",0.0056,0.01,0.0268,0.0148,0.0268,0,0,-0.0622460630972286,-0.054996584625723,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"17",0.0128,0.0112,0.006,0.0072,0.006,0,0,-0.0693668768010466,-0.070862140494494,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"18",1,1,1,1,0,0,1,0.0933876996724224,0.0926201439716616,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"19",0.8812,0.8492,0.8236,0.8552,0.1764,0,0,0.0305198730387989,0.0270115240101598,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"20",0.8576,0.78,0.6712,0.776,0.3288,0,0,0.0200088754527191,0.0120794730526335,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"21",0.4368,0.438,0.4548,0.4516,0.4548,0,0,-0.00368127726256661,-0.00357280994011518,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"22",0,0,0,0,0,0,0,-0.13140255540445,-0.121923930349056,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"23",0.8476,0.8144,0.7824,0.822,0.2176,0,0,0.025924101562599,0.022162742868073,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"24",0.8344,0.9184,0.9544,0.91,0.0456,0,0,0.0414862098736721,0.0532770974955901,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"25",0.7512,0.714,0.6804,0.7164,0.3196,0,0,0.0165943060760328,0.0133342088990311,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"26",0.1096,0.1604,0.2232,0.1552,0.2232,0,0,-0.0275809737678786,-0.0206843083753404,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"27",0.0884,0.1156,0.1256,0.108,0.1256,0,0,-0.0354755741489755,-0.0322756657804929,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"28",0.0756,0.196,0.39,0.1992,0.39,0,21,-0.0242782292928207,-0.0076595898112123,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"29",0.0112,0.0444,0.1432,0.0376,0.1432,0,0,-0.0459797582582534,-0.0278304383632864,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"30",0.3444,0.5088,0.6756,0.5124,0.3244,0,0,0.000877629880927617,0.0113570413416433,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"31",0.828,0.7568,0.6668,0.7532,0.3332,0,0,0.019841968942466,0.0117853100275012,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"32",0.9728,0.956,0.9364,0.958,0.0636,0,0,0.0482019564631029,0.0432708147453323,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"33",0.6332,0.626,0.6216,0.6268,0.3784,0,0,0.00979138640217402,0.00924178402333866,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"34",0.276,0.198,0.1196,0.2004,0.1196,0,1,-0.0232993593749384,-0.0311176720916818,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"35",0.3612,0.384,0.4124,0.3852,0.4124,0,0,-0.00759103540348726,-0.00585313265517605,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"36",0.2276,0.2008,0.1628,0.1976,0.1628,0,6,-0.0221649878560657,-0.0248263428271723,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"37",0.732,0.732,0.7288,0.7288,0.2712,0,0,0.0174349643023512,0.0174311423089022,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"38",0.01,0.0072,0.0044,0.0052,0.0044,0,0,-0.0631445016022064,-0.0647516949956075,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"39",1,1,0.9996,1,4e-04,0,0,0.111158896799524,0.102623885637903,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"40",0.002,0.0116,0.0432,0.012,0.0432,0,0,-0.0594612854635062,-0.0455894953187235,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"41",0.1984,0.2812,0.3628,0.2788,0.3628,0,132,-0.0149091638003141,-0.00886150911319517,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"42",0.7824,0.4744,0.1796,0.4716,0.1796,0,0,-0.00194187803788882,-0.025977389470093,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"43",0.56,0.7688,0.8968,0.7644,0.1032,0,0,0.0183258896993926,0.0329606757358877,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"44",0,0,0.0012,4e-04,0.0012,0,0,-0.0912749386262347,-0.08357849554089,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"45",0.5352,0.4648,0.394,0.4708,0.394,0,0,-0.00243989457111354,-0.00801112667497683,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"46",0.388,0.5272,0.672,0.5292,0.328,0,0,0.00225220161759711,0.0126320886974852,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"47",0.908,0.9552,0.974,0.948,0.026,0,0,0.0430891080180194,0.0522716586887504,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"48",0.136,0.1264,0.0972,0.1112,0.0972,0,0,-0.0347297032713371,-0.0363891927197984,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"49",0.058,0.0608,0.0668,0.0616,0.0668,0,49,-0.0384733471515762,-0.0378788284187774,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"50",0.816,0.7764,0.7364,0.7752,0.2636,0,0,0.0208663180405888,0.0174196539766083,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"51",0.9772,0.9752,0.97,0.9732,0.03,0,0,0.0547239956103961,0.0529418027530731,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"52",0.9968,0.9772,0.9212,0.9732,0.0788,0,0,0.0550478107714213,0.0387051667192023,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"53",0.3796,0.712,0.928,0.702,0.072,0,0,0.0146778246954044,0.0381032882912567,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"54",0.0168,0.0312,0.0436,0.0268,0.0436,0,0,-0.0468537495247631,-0.0411285277292208,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"55",0.0072,0,0,4e-04,0,0,1,-0.0963530462657257,-0.124821657538853,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"56",0.9872,0.9896,0.9972,0.9952,0.0028,0,1,0.0635228262371807,0.0677016198820426,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"57",0.0556,0.026,0.0144,0.0316,0.0144,0,26,-0.0547308532464651,-0.0648391388865122,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"58",0,8e-04,0.0084,4e-04,0.0084,0,4,-0.0989405237744773,-0.0773707465393686,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"59",0.8668,0.7068,0.4984,0.694,0.5016,0,0,0.015454495306959,-0.000209371622888278,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
"60",0.368,0.2812,0.2036,0.2788,0.2036,0,0,-0.0166360344772346,-0.0238555427020643,100,0,0.8,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_09",0.2
