"","p_ab_perm_mean_c","p_ab_perm_ab_c","p_opsign_ci","n_conv_warn","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","save_dir","simulation_name","theta_ab"
"1",0.994,0.9956,0.0076,0,0.0276216522709521,0.0258953715078822,100,0,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_20",0.2
"2",0.6096,0.5656,0.3416,0,0.00347855381531651,0.00478378898004662,100,0,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_20",0.2
"3",0.7496,0.7552,0.2656,0,0.00774384793971209,0.00744861242084973,100,0,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_20",0.2
"4",0.3796,0.2656,0.4944,0,-0.00357857039096623,-0.000153932031954611,100,0,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_20",0.2
"5",0.0076,0,0.116,0,-0.02575002543443,-0.0118900755658041,100,0,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_20",0.2
"6",0.9944,1,0.1248,0,0.0279110780615199,0.0111644243452818,100,0,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_20",0.2
"7",0.2148,0.1324,0.3316,0,-0.00750386448184783,-0.00412790121119559,100,0,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_20",0.2
"8",0.6524,0.642,0.3424,0,0.00461050580497999,0.00494487831099563,100,0,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_20",0.2
"9",4e-04,0,0.038,0,-0.043382635267583,-0.0205528474198709,100,0,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_20",0.2
"10",0.3648,0.5384,0.2264,0,-0.00435099395867281,-0.00962980605920128,100,0,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_20",0.2
