"","p_ab_c_ab","p_ab_c_mean","p_ab_neg_c_ab","p_ab_neg_c_mean","p_boot_c_ab","p_boot_c_mean","p_boot_neg_c_ab","p_boot_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","boot_ab","X2.5.","X97.5.","X0.","X25.","X50.","X75.","X100.","J","a","b","boottype","c_p","mc.cores","n_j","niter","nperms","nreps","optimizer","permtype","reform","save_dir","simtype","simulation_name","theta_ab"
"1",0.4212,0.3092,0.2092,0.3172,0.3092,0.2068,0.1256,0.2092,0.2092,0,0,-0.0312161418564317,-0.0509597321437704,-0.179287950511046,0.071176716774374,-0.278894129400865,-0.0940639161599154,-0.0493599026255083,-0.00769595036008905,0.142154202377728,100,0,0.8,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_4",0.2
"2",0.9208,0.89,0.8584,0.896,0.89,0.8536,0.8096,0.8584,0.1416,0,0,0.066396448789528,0.0562046188775958,-0.0509931758814395,0.161113155481987,-0.189146720950226,0.0208839078945823,0.05587427661451,0.0907409041051828,0.253234599528276,100,0,0.8,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_4",0.2
"3",0.742,0.6668,0.5788,0.668,0.6668,0.566,0.4956,0.5788,0.4212,0,0,0.02328442244759,0.0106980168788589,-0.100305835626244,0.117582679783196,-0.189616228829208,-0.0265542429724261,0.0120611463986052,0.0479222008181133,0.192305539519286,100,0,0.8,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_4",0.2
"4",0.3236,0.45,0.5936,0.4544,0.45,0.5824,0.7136,0.5936,0.4064,0,0,-0.00539643546231972,0.00999975200769852,-0.0847344272384394,0.103000727459214,-0.181711345467265,-0.0202106034731961,0.0102548195607603,0.0416507525901332,0.167458093895045,100,0,0.8,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_4",0.2
"5",0.9628,0.9452,0.9232,0.9436,0.9452,0.9244,0.8896,0.9232,0.0768,0,0,0.0769180220059022,0.0673934601293232,-0.0267220475723827,0.162875910011486,-0.0992226599401549,0.0351394252532657,0.0662134618289244,0.100173177881155,0.224859004871417,100,0,0.8,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_4",0.2
"6",0.1416,0.1752,0.2012,0.1668,0.1752,0.214,0.2424,0.2012,0.2012,0,0,-0.0476087254325476,-0.0409948058768496,-0.140542710218816,0.0561554879563811,-0.219344630372759,-0.0750645793201268,-0.039378886084377,-0.00774504875668855,0.119209042363266,100,0,0.8,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_4",0.2
"7",0.6216,0.4636,0.3156,0.4692,0.4636,0.3272,0.1996,0.3156,0.3156,0,0,-0.00385423899008334,-0.0210412924211136,-0.109971803414635,0.0742939363953098,-0.179331166456252,-0.0521189574173782,-0.0207416685257623,0.0090959826461184,0.150650674351633,100,0,0.8,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_4",0.2
"8",0.4436,0.5612,0.6696,0.5524,0.5612,0.6732,0.7768,0.6696,0.3304,0,0,0.00713189229781008,0.0223850436163344,-0.0775161236373822,0.123189821790507,-0.123697140276194,-0.0103247405420465,0.021777344081021,0.0551720300038612,0.226933623040096,100,0,0.8,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_4",0.2
"9",4e-04,0.0108,0.0944,0.0084,0.0108,0.0964,0.3768,0.0944,0.0944,0,0,-0.126599503415192,-0.0715252358947715,-0.177840124683039,0.0340499876069,-0.273350283022496,-0.108557910213853,-0.0722148559491153,-0.0342560381183577,0.162134074371449,100,0,0.8,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_4",0.2
"10",0.3736,0.4068,0.4448,0.406,0.4068,0.4324,0.4776,0.4448,0.4448,0,5,-0.0138283392390235,-0.0087502264909353,-0.122144692371888,0.105635170814885,-0.220498103052778,-0.0480577516931269,-0.00766208026930843,0.0307524269348489,0.203165284898665,100,0,0.8,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_4",0.2
"11",0.7284,0.8472,0.9248,0.8488,0.8472,0.9224,0.9672,0.9248,0.0752,0,0,0.062683566575141,0.0880656459904344,-0.0338907562636798,0.206439733904433,-0.126724613620779,0.0463454856122996,0.0876370897698536,0.12930619894214,0.31889599237054,100,0,0.8,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_4",0.2
"12",0.9976,0.9976,0.998,0.9992,0.9976,0.9964,0.9968,0.998,0.002,0,0,0.19910376481217,0.191313699161305,0.0604478715880114,0.328040653043652,-0.0314873425292004,0.145034842617176,0.191455503747926,0.235672718477229,0.476577014087362,100,0,0.8,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_4",0.2
"13",0.0296,0.0252,0.0232,0.0276,0.0252,0.02,0.0184,0.0232,0.0232,0,0,-0.0892900883090438,-0.0932998635979396,-0.182655796261223,-0.000899742316358409,-0.260373211179017,-0.122550652618463,-0.0944873456690332,-0.0636465009928876,0.0593334328540364,100,0,0.8,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_4",0.2
"14",0.6852,0.5716,0.4376,0.578,0.5716,0.4344,0.3252,0.4376,0.4376,0,0,0.0099701292040739,-0.00828516021358814,-0.126919249558366,0.107433412310034,-0.222618368814579,-0.0473925882556167,-0.00794258755351758,0.0304782413176767,0.236469779701253,100,0,0.8,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_4",0.2
"15",0.8084,0.6164,0.3776,0.62,0.6164,0.3724,0.1864,0.3776,0.3776,0,0,0.0152960234567906,-0.0163094881498546,-0.12759155982522,0.0969135715976107,-0.22843254635976,-0.0522702946340699,-0.0159455267622668,0.0190918549346975,0.183359245002615,100,0,0.8,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_4",0.2
"16",0.74,0.6236,0.4928,0.6208,0.6236,0.4904,0.364,0.4928,0.4928,0,0,0.0169614040139802,-0.00101282577067739,-0.110243231850759,0.107791236388792,-0.209460855285536,-0.0383462391008382,-0.00110840699912506,0.0359890568983294,0.242444324878276,100,0,0.8,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_4",0.2
"17",0.6252,0.6312,0.6368,0.6308,0.6312,0.6408,0.6428,0.6368,0.3632,0,0,0.0174043785447193,0.0185108445414742,-0.0795703592977748,0.118890591226634,-0.125236881178593,-0.0166508631708915,0.0191157363352826,0.0518142182124266,0.209592075661285,100,0,0.8,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_4",0.2
"18",0.6036,0.5952,0.5844,0.5932,0.5952,0.588,0.5768,0.5844,0.4156,0,0,0.0126461422801631,0.0115567123592697,-0.0857383282078015,0.115612242973814,-0.212658408037225,-0.0232968590870152,0.0119366705249457,0.0461964355819425,0.224597104573177,100,0,0.8,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_4",0.2
"19",0.1428,0.2228,0.3104,0.2256,0.2228,0.316,0.4288,0.3104,0.3104,0,0,-0.0411717334673206,-0.0250760774217437,-0.130075806308319,0.0824988947673842,-0.255873238703997,-0.061172256428966,-0.0252955256146065,0.011551541313445,0.156832739412835,100,0,0.8,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_4",0.2
"20",0.2636,0.4472,0.6356,0.4484,0.4472,0.6448,0.8064,0.6356,0.3644,0,0,-0.00744646591170988,0.0212917831151937,-0.086529465931781,0.137729463513487,-0.166601566773731,-0.0179855579260595,0.021915396921672,0.0595295341505023,0.218279798509395,100,0,0.8,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_4",0.2
"21",0.9948,0.9888,0.986,0.992,0.9888,0.9816,0.98,0.986,0.014,0,0,0.131809333454559,0.122024706671903,0.0175449199933616,0.233887439805189,-0.108963314015622,0.0841939426822608,0.12120510138235,0.158905010187934,0.302474814962691,100,0,0.8,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_4",0.2
"22",0.8916,0.8744,0.858,0.874,0.8744,0.8584,0.8348,0.858,0.142,0,0,0.0554262329202139,0.0509564122368042,-0.046252662481013,0.144872680700139,-0.13276295444763,0.0193159833230913,0.0516841927879038,0.0822862925361652,0.233803917580209,100,0,0.8,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_4",0.2
