"","p_ab_perm_mean_c","p_ab_perm_ab_c","p_opsign_ci","n_conv_warn","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","save_dir","simulation_name","theta_ab"
"1",0.4976,0.6932,0.6892,0,8.13219745206463e-05,-0.0101359816236989,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"2",0.7216,0.6896,0.2384,0,0.0104282961181191,0.0120782676553446,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"3",1,1,0,0,0.0868949840579264,0.0799201623658324,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"4",0.9964,1,0.018,0,0.0480520836392694,0.0345254249926355,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"5",0.98,0.9864,0.0212,0,0.037554812785344,0.0352487321591039,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"6",0.8812,0.996,0.7,0,0.0163173866040657,-0.00738081998026696,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"7",0.4048,0.1812,0.6696,0,-0.00395359836465524,0.00717580558565489,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"8",0.0016,0.0028,0.0012,0,-0.0531931790260394,-0.0551365657686676,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"9",0.2652,0.5572,0.0784,0,-0.0123695541296583,-0.0274969014201833,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"10",0.0012,0,0.034,0,-0.0408524356885517,-0.0253385240599808,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"11",0.0116,0.0012,0.1116,0,-0.0389468770056157,-0.0211903730049471,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"12",0.552,0.7028,0.6064,0,0.00238236623287158,-0.00485440714863171,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"13",0.1412,0.1312,0.156,0,-0.0181463836795084,-0.0170837214907816,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"14",0,0,8e-04,0,-0.0546182416786904,-0.0427234984540714,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"15",4e-04,0,8e-04,0,-0.0536364537675472,-0.0441654513966818,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"16",0.312,0.6084,0.1004,0,-0.00848493334537725,-0.021250183458777,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"17",1,1,0,0,0.0772851352843951,0.0874194772967467,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"18",0.056,0.008,0.2152,0,-0.0296793959068415,-0.015042728596793,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"19",0.0056,0,0.1284,0,-0.0499126558500177,-0.0222815784906105,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"20",0.0336,0.0196,0.0548,0,-0.0302601348878699,-0.0261008132346643,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"21",0.9028,0.8208,0.0472,0,0.0225158998570133,0.0289935069414366,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"22",0.6276,0.4228,0.1992,0,0.0049159140446845,0.0134024601089789,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"23",0.854,0.6224,0.034,0,0.0175058570444383,0.0302423473641789,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"24",0.822,0.6376,0.0676,0,0.0138007489372736,0.0223410977348363,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"25",0.8168,0.6716,0.0828,0,0.0137717893219734,0.0208682434113097,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"26",0.8056,0.872,0.292,0,0.0145913550982738,0.00967722081126346,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"27",0.4128,0.646,0.222,0,-0.00374291579018039,-0.0143861417367897,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"28",0.0916,0.1184,0.0632,0,-0.0230071462310139,-0.025966819659755,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"29",0.948,0.7924,0.006,0,0.0274744949947633,0.0415867865427143,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"30",0.9332,0.978,0.1756,0,0.0259131818104445,0.0163756284074342,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"31",0.8128,0.9948,0.7088,0,0.0157517903602808,-0.0101119941433417,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"32",0.9672,0.9996,0.2652,0,0.0320991465883838,0.0106256999126668,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"33",0.4224,0.7552,0.1356,0,-0.00295228766747823,-0.01529641942789,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"34",0.3496,0.1616,0.5856,0,-0.00811243736201603,0.00413727473024373,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"35",0.9644,0.9056,0.0176,0,0.0305727891047314,0.0378532009284246,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"36",0.1864,0.1748,0.2076,0,-0.0158834274518451,-0.0149892970578111,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"37",0.9236,0.9276,0.0836,0,0.027209094260003,0.0263467598359663,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"38",0.962,0.984,0.1012,0,0.0325731624117573,0.0238404509265327,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"39",0.0828,0.0732,0.0856,0,-0.0222309726099904,-0.0213795522734496,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"40",0.1832,0.0284,0.5764,0,-0.0139948840027586,0.00214690555628407,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"41",0.6892,0.7332,0.358,0,0.00708361217520351,0.00513468277141948,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
"42",0.6336,0.9524,0.83,0,0.0063909123018222,-0.0169929048854324,100,0.5,0,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_18",0.2
