"","p_ab_perm_mean_c","p_ab_perm_ab_c","p_opsign_ci","n_conv_warn","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","save_dir","simulation_name","theta_ab"
"1",1,1,0,0,0.196197499724928,0.196553937360556,100,0.5,0.5,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_26",0.2
"2",1,1,0,0,0.243037558046212,0.231459598437609,100,0.5,0.5,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_26",0.2
"3",1,1,0,0,0.294044468509166,0.284851799343015,100,0.5,0.5,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_26",0.2
"4",1,1,0,0,0.35177136310945,0.342643038937686,100,0.5,0.5,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_26",0.2
"5",1,1,0,0,0.252543064481766,0.263246667747821,100,0.5,0.5,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_26",0.2
"6",1,1,0,0,0.240704602607606,0.251559144026366,100,0.5,0.5,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_26",0.2
"7",1,1,0,0,0.241151238115312,0.23950256796357,100,0.5,0.5,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_26",0.2
"8",1,1,0,0,0.232046683069457,0.237099985192167,100,0.5,0.5,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_26",0.2
"9",1,1,0,0,0.278102592492417,0.288675211751623,100,0.5,0.5,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_26",0.2
"10",1,1,0,0,0.193559989518199,0.207837839453923,100,0.5,0.5,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_26",0.2
"11",1,1,0,0,0.250681448140414,0.251668205401604,100,0.5,0.5,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_26",0.2
"12",1,1,0,0,0.246687209239811,0.252886672996946,100,0.5,0.5,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_26",0.2
"13",1,1,0,0,0.199442896925433,0.197359931214036,100,0.5,0.5,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_26",0.2
"14",1,1,0,0,0.331579603339072,0.324042347419005,100,0.5,0.5,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_26",0.2
"15",1,1,0,0,0.232074817791562,0.244876529521533,100,0.5,0.5,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_26",0.2
"16",1,1,0,0,0.212403410036041,0.229361458268293,100,0.5,0.5,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_26",0.2
"17",1,1,0,0,0.245187316406708,0.261531078611319,100,0.5,0.5,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_26",0.2
"18",1,1,0,0,0.170259529890642,0.18955779247397,100,0.5,0.5,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_26",0.2
