"","p_ab_perm_mean_c","p_ab_perm_ab_c","p_opsign_ci","n_conv_warn","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","save_dir","simulation_name","theta_ab"
"1",0.046,0.0152,0.1428,0,-0.0291126780689767,-0.0187918440048692,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"2",0.028,0.0064,0.0788,0,-0.0324162469893296,-0.0226494573073387,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"3",0.9448,0.978,0.1312,0,0.0278018846005177,0.0196934405127061,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"4",0.0432,0.0816,0.0196,0,-0.0320216130876328,-0.0379627945315274,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"5",0.2424,0.1368,0.364,0,-0.00999124064415726,-0.00438858030309205,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"6",0.4392,0.4992,0.3792,0,-0.00318234565161556,-0.00636917933036158,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"7",0.3184,0.108,0.6268,0,-0.00818447364186502,0.00541889365543219,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"8",0.2148,0.0692,0.4708,0,-0.0138010592049955,-0.00132959535717214,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"9",0.8608,0.798,0.0916,0,0.0212510911111032,0.0261130649477447,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"10",0.9996,1,0.0556,0,0.0559615143765744,0.0260251250594671,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"11",0.994,0.9952,0.0052,0,0.0488534937516802,0.0479668269087815,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"12",0.0052,0.0072,8e-04,0,-0.0423128083500271,-0.0448398671048887,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"13",0.9928,0.998,0.0212,0,0.0405565364678516,0.0345745327093064,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"14",0.99,0.9988,0.0984,0,0.0328044388933439,0.0194325584553401,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"15",0.0876,0.0508,0.152,0,-0.0233143729926876,-0.0180129773609756,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"16",0.4888,0.53,0.4556,0,-0.00029032661166017,-0.00237056248953294,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"17",0.6136,0.7892,0.6016,0,0.00483154696100188,-0.00411892081866439,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"18",0.6132,0.6672,0.4552,0,0.00470649716631867,0.00209239430113471,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"19",0.4928,0.4552,0.5288,0,-0.00048668023633259,0.00153267657632959,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"20",0.9644,0.9604,0.0308,0,0.0319761271089626,0.0326898454949986,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"21",0.1416,0.058,0.2532,0,-0.0242230192939622,-0.0148895011159779,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"22",0.944,0.95,0.0588,0,0.0284341107009117,0.0276867974125113,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"23",0.9904,0.9904,0.0096,0,0.0429803463772601,0.0428373548768154,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"24",0.0012,8e-04,0.002,0,-0.0495327130981057,-0.0445034084912924,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"25",0.0128,0.028,0.0084,0,-0.0437086318092312,-0.0497019722423067,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"26",0.2576,0.0728,0.5464,0,-0.0113117236975254,0.00223478798263891,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"27",0,0,0,0,-0.0809474020720938,-0.0821358700196475,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"28",0.1196,0.058,0.2188,0,-0.0224023464387782,-0.0145008343679866,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
"29",4e-04,8e-04,0,0,-0.0617530359346599,-0.0648783900810635,100,0.5,0,1,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_34",0.2
