"","p_c_ab","p_c_mean","p_neg_c_ab","p_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","permtype","reform","save_dir","simulation_name","theta_ab"
"1",0.6168,0.52,0.4268,0.5224,0.5732,0,0,0.000627517073034016,-0.00201605519307695,100,0,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_00",0.2
"2",0.2988,0.3104,0.3268,0.3184,0.3268,0,0,-0.0046070754052487,-0.00434695417737143,100,0,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_00",0.2
"3",0.624,0.4876,0.34,0.4668,0.34,0,2,-0.000389133084508778,-0.00293781540004624,100,0,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_00",0.2
"4",0.6456,0.418,0.2116,0.4136,0.2116,0,0,-0.00205881563517881,-0.00771062438521977,100,0,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_00",0.2
"5",1,1,0.994,1,0.006,0,12,0.0554887881512192,0.0275865292222337,100,0,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_00",0.2
"6",0.0348,0.2016,0.6052,0.196,0.6052,0,0,-0.0072545767322766,0.00209198703195706,100,0,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_00",0.2
"7",0.9932,0.9568,0.8108,0.972,0.1892,0,0,0.0149898703950853,0.00709185624788563,100,0,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_00",0.2
"8",0.9932,0.9752,0.9144,0.9804,0.0856,0,0,0.0185789503224133,0.0122193858518477,100,0,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_00",0.2
"9",0.9988,0.9712,0.7616,0.9788,0.2384,0,0,0.0178454855697502,0.00624684954306447,100,0,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_00",0.2
"10",0.9608,0.8656,0.616,0.858,0.384,0,0,0.00806509871239837,0.00220580976539458,100,0,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_00",0.2
"11",0.0356,0.0948,0.212,0.0856,0.212,0,0,-0.0114078291270147,-0.00687136914407605,100,0,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_00",0.2
"12",0.9972,0.9872,0.944,0.988,0.056,0,0,0.0213084096712302,0.0146918269275149,100,0,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_00",0.2
"13",0.006,0.04,0.2028,0.0424,0.2028,0,1,-0.0155135106898084,-0.0077918952504156,100,0,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_00",0.2
"14",1,0.9968,0.9676,0.9988,0.0324,0,0,0.0314324081722164,0.0181106110851138,100,0,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_00",0.2
"15",0.0292,0.0392,0.0396,0.0272,0.0396,0,0,-0.0206037630897392,-0.0187863081074397,100,0,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_00",0.2
"16",0.0428,0.1716,0.4276,0.166,0.4276,0,6,-0.00989840737394946,-0.00197750448993729,100,0,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_00",0.2
"17",0.9816,0.9308,0.7896,0.9348,0.2104,0,21,0.00999898119473326,0.00551805856954417,100,0,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_00",0.2
"18",1,0.986,0.6844,0.9904,0.3156,0,0,0.0251437832709485,0.00559792435684119,100,0,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_00",0.2
"19",0.3728,0.3784,0.4,0.3956,0.4,0,7,-0.00203333921948797,-0.00193894164729651,100,0,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_00",0.2
"20",0.9984,0.9784,0.7988,0.9756,0.2012,0,3,0.0216657266293128,0.00886770704983185,100,0,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_00",0.2
"21",0.0068,0.0468,0.2136,0.0408,0.2136,0,0,-0.0151033115656108,-0.0070645347307894,100,0,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_00",0.2
"22",0.8616,0.8036,0.7356,0.814,0.2644,0,0,0.00845744707446841,0.00614878366373033,100,0,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_00",0.2
"23",0.4952,0.38,0.2504,0.3724,0.2504,0,4,-0.00299106215618006,-0.00593342853486835,100,0,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_00",0.2
"24",0.5084,0.4716,0.4448,0.4816,0.4448,0,0,-0.000686015530274559,-0.00167038836627709,100,0,0,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_00",0.2
