"","p_ab_perm_mean_c","p_ab_perm_ab_c","p_opsign_ci","n_conv_warn","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","save_dir","simulation_name","theta_ab"
"1",0.9996,0.9996,4e-04,0,0.0390712374357938,0.0360629994381824,100,0.2,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_21",0.2
"2",0.38,0.128,0.71,0,-0.00329019954496956,0.00576099702552327,100,0.2,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_21",0.2
"3",0.9596,0.986,0.106,0,0.0188802607224226,0.0136853020296823,100,0.2,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_21",0.2
"4",1,1,0,0,0.0514870882263543,0.0552646299801985,100,0.2,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_21",0.2
"5",1,1,0,0,0.0834389913685305,0.0735476972431253,100,0.2,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_21",0.2
"6",1,1,0,0,0.0616006696308981,0.0522884142840568,100,0.2,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_21",0.2
"7",0.9748,0.9928,0.07,0,0.0196730026955569,0.0137710761297474,100,0.2,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_21",0.2
"8",0.9948,0.9984,0.0056,0,0.0300307060967746,0.0279538597808888,100,0.2,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_21",0.2
"9",1,1,4e-04,0,0.0598793815653292,0.0500866865939114,100,0.2,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_21",0.2
"10",1,1,0,0,0.0654423825783928,0.0694341666593341,100,0.2,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_21",0.2
"11",0.9552,0.912,0.022,0,0.0244392054576025,0.0290122565387451,100,0.2,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_21",0.2
"12",1,1,0,0,0.0816336640006481,0.0561747067826755,100,0.2,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_21",0.2
"13",1,1,0,0,0.0740039466715831,0.0734901458004929,100,0.2,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_21",0.2
"14",1,0.9996,0,0,0.076340496899818,0.0860366894919005,100,0.2,0.2,0.5,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_21",0.2
