"","p_ab_perm_mean_c","p_ab_perm_ab_c","p_opsign_ci","n_conv_warn","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","save_dir","simulation_name","theta_ab"
"1",0.2164,0.1004,0.4024,0,-0.0112238221256279,-0.00373988739552182,100,0.5,0,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_02",0.2
"2",0.3212,0.4396,0.2176,0,-0.00810507349973526,-0.0135879373603456,100,0.5,0,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_02",0.2
"3",0.9828,0.9816,0.0076,0,0.035093922365885,0.035743123577817,100,0.5,0,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_02",0.2
"4",0.804,0.7648,0.1484,0,0.0150591128613147,0.0176999567517397,100,0.5,0,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_02",0.2
"5",0.5436,0.5112,0.4104,0,0.00238158895491323,0.00405355394645706,100,0.5,0,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_02",0.2
"6",0.21,0.3308,0.1264,0,-0.015573603343384,-0.0226220812506416,100,0.5,0,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_02",0.2
"7",0.016,0.0104,0.0164,0,-0.0357335096659811,-0.0332366667866266,100,0.5,0,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_02",0.2
"8",0.8344,0.6596,0.064,0,0.0160627143786417,0.0256455615875418,100,0.5,0,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_02",0.2
"9",0.026,0.0148,0.0484,0,-0.0286647461406985,-0.0250705987235255,100,0.5,0,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_02",0.2
"10",0.5756,0.5896,0.452,0,0.00292622644234277,0.00234320366211106,100,0.5,0,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_02",0.2
