"","p_c_ab","p_c_mean","p_neg_c_ab","p_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","reform","save_dir","simulation_name","theta_ab"
"1",0.7632,0.5648,0.3504,0.5556,0.6496,0,2426,0.00191048269905122,-0.00454260486865292,100,0.2,0,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_11",0.2
"2",0,0.0012,0.0792,0,0.0792,0,2417,-0.0336358248576357,-0.0123705026195561,100,0.2,0,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_11",0.2
"3",0.9724,0.992,0.9996,0.9976,4e-04,0,2401,0.0337065203887921,0.0410021317279766,100,0.2,0,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_11",0.2
"4",0,0,0,0,0,0,2418,-0.065231016502422,-0.0534112469039856,100,0.2,0,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_11",0.2
"5",1,0.9996,0.8744,1,0.1256,0,2345,0.0243716680908894,0.00542087886974633,100,0.2,0,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_11",0.2
"6",0.1264,0.6288,0.9636,0.5824,0.0364,0,2382,0.00209010390826742,0.0128330937248456,100,0.2,0,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_11",0.2
"7",0.956,0.8284,0.5364,0.8328,0.4636,0,2399,0.00660532017447324,0.000811803308050259,100,0.2,0,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_11",0.2
"8",0.9952,0.864,0.2948,0.8528,0.7052,0,2376,0.00824651427743161,-0.00432156314556438,100,0.2,0,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_11",0.2
"9",1,0.6684,8e-04,0.7016,0.9992,0,2400,0.00464203151162886,-0.0256261928565927,100,0.2,0,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_11",0.2
"10",0.0428,0.018,0,0.0048,0,0,2398,-0.0245964517342727,-0.0299724419568487,100,0.2,0,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_11",0.2
"11",1,1,0.414,1,0.586,0,2320,0.0241522990262441,-0.000923709862932171,100,0.2,0,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_11",0.2
"12",0,0,0.8388,4e-04,0.8388,0,2349,-0.026563423617629,0.00545997993942948,100,0.2,0,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_11",0.2
"13",0.0348,0.0572,0.0844,0.038,0.0844,0,2428,-0.0126730523761155,-0.0100623030044205,100,0.2,0,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_11",0.2
"14",0.8912,0.9228,0.956,0.9332,0.044,0,2351,0.0132813439556839,0.0149459961727217,100,0.2,0,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_11",0.2
"15",0.0036,0.04,0.2304,0.0376,0.2304,0,2262,-0.0212615496675167,-0.00872398419437801,100,0.2,0,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_11",0.2
"16",0,0,0.02,0,0.02,0,2379,-0.0653802973424852,-0.0207578545143112,100,0.2,0,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_11",0.2
"17",0,0.0016,0.694,0.002,0.694,0,2368,-0.0197543744162849,0.00302416697742039,100,0.2,0,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_11",0.2
"18",0.496,0.806,0.9548,0.806,0.0452,0,2322,0.0100458102346132,0.0203703493508238,100,0.2,0,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_11",0.2
"19",0,0,0.7144,0,0.7144,0,2431,-0.0388683059925543,0.00560633991829598,100,0.2,0,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_11",0.2
"20",0.9396,0.8972,0.8276,0.9128,0.1724,0,2399,0.00998611333044847,0.00716406959165487,100,0.2,0,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_11",0.2
"21",0,8e-04,0.5756,0,0.5756,0,2350,-0.0308042569421901,0.00157629272060243,100,0.2,0,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_11",0.2
"22",0,0,0.0952,0,0.0952,0,2305,-0.0320620950289152,-0.00800879181344808,100,0.2,0,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_11",0.2
"23",0,0.0332,0.5304,0.0388,0.5304,0,2399,-0.0213076958696536,0.0010672682655543,100,0.2,0,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_11",0.2
"24",1,0.9984,0.974,1,0.026,0,2301,0.0275607729114395,0.0122258440754468,100,0.2,0,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_11",0.2
"25",0.9444,0.8204,0.578,0.8216,0.422,0,2390,0.012305709325684,0.00282199008652304,100,0.2,0,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_11",0.2
