"","p_ab_perm_mean_c","p_ab_perm_ab_c","p_opsign_ci","n_conv_warn","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","save_dir","simulation_name","theta_ab"
"1",0.0032,4e-04,0.0076,0,-0.0854119034281773,-0.0689431017890141,100,0,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_12",0.2
"2",0.0128,0.0064,0.0188,0,-0.0844897966960759,-0.0783097155104568,100,0,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_12",0.2
"3",0.2632,0.1788,0.3524,0,-0.0253356441029738,-0.0142993489085983,100,0,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_12",0.2
"4",0.488,0.5816,0.4076,0,-0.000483130424288487,-0.00798098320368567,100,0,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_12",0.2
"5",0.7268,0.8096,0.3548,0,0.0229563131661699,0.012788161970455,100,0,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_12",0.2
"6",0.0224,0.0828,0.01,0,-0.0664886687812622,-0.0861476253128918,100,0,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_12",0.2
"7",0.0472,0.0128,0.144,0,-0.0554078344438967,-0.0352197878987316,100,0,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_12",0.2
"8",0.6016,0.5696,0.3644,0,0.00819031136235175,0.0110064144852908,100,0,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_12",0.2
"9",0.6232,0.6636,0.4208,0,0.0117284076755024,0.00739406291354401,100,0,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_12",0.2
"10",0.6924,0.8452,0.4832,0,0.0169061133762773,0.000567506629739657,100,0,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_12",0.2
"11",0.628,0.8032,0.5708,0,0.0110900423977516,-0.00587620151330666,100,0,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_12",0.2
"12",0.0536,0.022,0.1148,0,-0.0557613779100483,-0.0417700927387752,100,0,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_12",0.2
"13",0.0908,0.0612,0.148,0,-0.0436921623446009,-0.0346065066070771,100,0,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_12",0.2
"14",0.0032,0.01,8e-04,0,-0.0888386826549717,-0.102281811176064,100,0,1,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_12",0.2
