"","p_c_ab","p_c_mean","p_neg_c_ab","p_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","permtype","reform","save_dir","simulation_name","theta_ab"
"1",0.5112,0.2288,0.0496,0.2252,0.0496,0,1,-0.0230520949343646,-0.0480745713388014,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"2",0.9812,0.9588,0.9196,0.9592,0.0804,0,0,0.0571833279436503,0.0464810802801003,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"3",0,8e-04,0.0228,0.0012,0.0228,0,0,-0.0928106285912029,-0.0621543706786616,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"4",8e-04,0.0128,0.0628,0.014,0.0628,0,0,-0.0677344231397274,-0.0469127746655821,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"5",0.7124,0.594,0.4644,0.5972,0.5356,0,0,0.00742264610645088,-0.00305335561322094,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"6",0.9964,0.9964,0.9944,0.9948,0.0056,0,0,0.071470364609689,0.0700370811998037,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"7",0,4e-04,0.0084,4e-04,0.0084,0,2,-0.096662584236459,-0.073736974909507,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"8",1,0.9996,0.9956,0.9992,0.0044,0,0,0.0815139489787083,0.0690749457356656,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"9",8e-04,0.0044,0.0272,0.0028,0.0272,0,0,-0.0789286210140997,-0.0560320011366719,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"10",0.3064,0.514,0.7028,0.4984,0.2972,0,0,0.000409759768609724,0.0147401682290262,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"11",0.6448,0.828,0.9304,0.8316,0.0696,0,0,0.0279729918346174,0.0448285228168191,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"12",1,1,0.9988,0.9996,0.0012,0,0,0.096699077894455,0.0766650902480187,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"13",0,0,0,0,0,0,0,-0.106809121701639,-0.101540471367189,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"14",0.4904,0.2492,0.1028,0.2556,0.1028,0,0,-0.0184306851770459,-0.036457140961204,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"15",0.4168,0.504,0.6088,0.5184,0.3912,0,0,0.000897600697900534,0.0074778752340137,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"16",0.9184,0.8972,0.8656,0.89,0.1344,0,0,0.0352546092973724,0.0315950566998828,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"17",4e-04,8e-04,0.0096,0.0032,0.0096,0,0,-0.0841586878661606,-0.0726330408936215,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"18",0.1508,0.0656,0.0264,0.0752,0.0264,0,0,-0.0525886614872133,-0.0691716351679241,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"19",0,8e-04,0.0016,0,0.0016,0,0,-0.0995572396902314,-0.0774296208605199,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"20",0.5728,0.5848,0.6192,0.6096,0.3808,0,3,0.00787189172837874,0.00894974931722399,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"21",0.0468,0.056,0.066,0.0532,0.066,0,1,-0.0418644397842583,-0.0391412045501992,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"22",0.8004,0.7788,0.7648,0.7904,0.2352,0,27,0.022075952195274,0.0198854272631268,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"23",1,1,1,1,0,0,0,0.139675112406698,0.127185912962205,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"24",1,0.9972,0.9792,0.996,0.0208,0,20,0.0822338656588719,0.0628978078436301,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"25",0.0296,0.076,0.1844,0.0772,0.1844,0,0,-0.0414146648494426,-0.0270363209662136,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"26",1,1,1,1,0,0,0,0.133887748280735,0.111370453819492,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"27",0.9332,0.9468,0.9552,0.9424,0.0448,0,0,0.0425579640983591,0.0453782300494157,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"28",0.916,0.9136,0.904,0.908,0.096,0,0,0.0392810190914853,0.0387506389207495,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"29",0,0,0,0,0,0,0,-0.108087324613948,-0.0908727183148246,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"30",0.6308,0.4272,0.2524,0.4364,0.2524,0,0,-0.00474908156094212,-0.0194586121072464,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"31",0.6924,0.7064,0.7216,0.7072,0.2784,0,0,0.0167999171202438,0.0181812295527889,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"32",0.564,0.47,0.388,0.4764,0.388,0,15,-0.00159062507976552,-0.00761744229557403,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"33",0.9996,0.9984,0.9984,0.9988,0.0016,0,10,0.0977572751407676,0.0912446298034726,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"34",0.9908,0.9956,0.9992,0.9956,8e-04,0,0,0.0748374427787288,0.0835109527380143,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"35",0.9988,0.9912,0.9536,0.9924,0.0464,0,0,0.0665463726981103,0.0457400595284699,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"36",0.9488,0.9824,0.9936,0.984,0.0064,0,0,0.0632480535416016,0.0755605608549305,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"37",0,0.0012,0.0168,4e-04,0.0168,0,0,-0.0947898454709842,-0.0670152590802063,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"38",0.7708,0.6372,0.4816,0.6392,0.5184,0,0,0.00884291522986397,-0.00146970225414514,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"39",0.0356,0.0204,0.0112,0.0188,0.0112,0,0,-0.0577638977342285,-0.0643703904977859,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"40",0.9964,0.9468,0.7272,0.952,0.2728,0,0,0.0456130908370511,0.0171376886121711,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"41",0.996,0.9996,1,0.9984,0,0,92,0.0912258179629478,0.102217990279201,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"42",0.9964,0.992,0.9796,0.9912,0.0204,0,1,0.0633053269463816,0.0569851313939351,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"43",0.0048,0.0064,0.0044,0.0028,0.0044,0,0,-0.0724334387829225,-0.0689148493399938,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"44",0.6656,0.5624,0.4484,0.5692,0.5516,0,0,0.00452493058029787,-0.00365714317601819,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
"45",0.9992,0.9956,0.9636,0.998,0.0364,0,0,0.0635028624083611,0.0430909025698575,100,0,0.8,0,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_04",0.2
