"","p_c_ab","p_c_mean","p_neg_c_ab","p_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","reform","save_dir","simulation_name","theta_ab"
"1",0.0012,0.016,0.2424,0.0056,0.2424,0,0,-0.0109349187493959,-0.00309151748510511,100,0,0,0.8,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_05",0.2
"2",4e-04,0.0064,0.0584,0.002,0.0584,0,0,-0.0237198229595047,-0.012874211856083,100,0,0,0.8,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_05",0.2
"3",0.012,0.0636,0.2708,0.0612,0.2708,0,0,-0.0141462368514174,-0.00583502659335968,100,0,0,0.8,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_05",0.2
"4",0.9008,0.6472,0.2992,0.64,0.7008,0,0,0.00439073102277409,-0.00606334598594393,100,0,0,0.8,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_05",0.2
"5",0.0556,0.1524,0.3376,0.156,0.3376,0,0,-0.00718343309536557,-0.00269671609080948,100,0,0,0.8,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_05",0.2
"6",0,0,0.1568,0,0.1568,0,0,-0.0319457822624235,-0.00896615058620627,100,0,0,0.8,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_05",0.2
"7",0.0076,0.0748,0.3312,0.0628,0.3312,0,1,-0.011652308777221,-0.00375969858627522,100,0,0,0.8,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_05",0.2
"8",0.7924,0.56,0.3028,0.5588,0.6972,0,0,0.00137497248681305,-0.00446357125894066,100,0,0,0.8,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_05",0.2
"9",1,0.9992,0.9804,0.9996,0.0196,0,0,0.04615343047894,0.0268311744978961,100,0,0,0.8,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_05",0.2
"10",0.9008,0.7384,0.5056,0.738,0.4944,0,0,0.00515138267712088,0.000259700510371337,100,0,0,0.8,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_05",0.2
"11",0.1172,0.1956,0.2812,0.2004,0.2812,0,0,-0.00976029348740795,-0.00623744942294078,100,0,0,0.8,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_05",0.2
"12",1,0.9936,0.8624,0.994,0.1376,0,0,0.0286266730994981,0.0121920151011486,100,0,0,0.8,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_05",0.2
"13",0.7272,0.7044,0.6704,0.6928,0.3296,0,0,0.00446888255742,0.00394664504560742,100,0,0,0.8,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_05",0.2
"14",0.0388,0.098,0.212,0.0984,0.212,0,0,-0.010439960200906,-0.00603038704466702,100,0,0,0.8,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_05",0.2
"15",0.7648,0.676,0.5808,0.684,0.4192,0,0,0.00478688904972418,0.00215749776686556,100,0,0,0.8,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_05",0.2
"16",0.5904,0.4776,0.3576,0.47,0.3576,0,0,-0.00079340232833495,-0.00397956630958536,100,0,0,0.8,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_05",0.2
"17",0.8204,0.7532,0.6648,0.7564,0.3352,0,1,0.00580951674750942,0.00362834287957726,100,0,0,0.8,24,10,2500,500,"bobyqa","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_05",0.2
