"","p_c_ab","p_c_mean","p_neg_c_ab","p_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","reform","save_dir","simulation_name","theta_ab"
"1",0.016,0.0592,0.1656,0.0548,0.1656,0,2363,-0.047882010006556,-0.0288559246869806,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"2",0.5956,0.6076,0.61,0.596,0.39,0,2308,0.00831642352265658,0.00930149390388909,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"3",0.9648,0.9112,0.848,0.9248,0.152,0,2336,0.0499886119339088,0.0359589328476299,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"4",0.62,0.7712,0.8828,0.7688,0.1172,0,2370,0.0247827836809453,0.0392044476995207,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"5",0.068,0.046,0.0332,0.0468,0.0332,0,2348,-0.0565968137579578,-0.0628475823947138,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"6",0.7884,0.7064,0.6288,0.7204,0.3712,0,2338,0.0185334419165135,0.0105887244642403,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"7",0.3352,0.314,0.2976,0.3148,0.2976,0,2365,-0.0159994278605403,-0.0175335132151008,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"8",0.0288,0.022,0.0088,0.014,0.0088,0,2402,-0.0654620621432763,-0.0693672153406437,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"9",0.9588,0.926,0.8484,0.9148,0.1516,0,2294,0.044760107342072,0.0336380751317242,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"10",0.0444,0.1096,0.2296,0.1036,0.2296,0,2363,-0.0392690709661448,-0.0227866114959,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"11",0.338,0.5976,0.8132,0.596,0.1868,0,2390,0.0077847549256013,0.0286197956415338,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"12",0.4836,0.604,0.7156,0.5952,0.2844,0,2299,0.00712736388285523,0.0159720037733051,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"13",0.2748,0.4052,0.5328,0.3976,0.5328,0,2364,-0.00841092741048415,0.00314415032766946,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"14",0.1276,0.2172,0.3504,0.2244,0.3504,0,2256,-0.02232953394284,-0.0113696260763151,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"15",0.8524,0.7084,0.5088,0.696,0.4912,0,2361,0.0157580691435039,0.00106406021630649,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"16",0.6616,0.436,0.2336,0.4476,0.2336,0,2377,-0.00441184824530659,-0.021862642706592,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"17",0.48,0.4824,0.4964,0.4928,0.4964,0,2427,-0.000944685676366599,-0.000603229941993338,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"18",0,4e-04,8e-04,0,8e-04,0,2411,-0.125647447842057,-0.0946019612278007,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"19",0.1188,0.0704,0.0464,0.0748,0.0464,0,2313,-0.0493670001255783,-0.0575663814594864,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"20",0.4404,0.6708,0.8544,0.67,0.1456,0,2399,0.0150298784222127,0.0353112986571133,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"21",0.3248,0.6144,0.8592,0.6204,0.1408,0,2362,0.00844394716470688,0.029560491991941,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"22",0.9992,0.996,0.9924,0.9972,0.0076,0,2374,0.0778957862411314,0.0695269448484643,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"23",0,0.0036,0.0156,0.0024,0.0156,0,2390,-0.0748906677159611,-0.055948585891381,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"24",0.1348,0.0552,0.0272,0.0604,0.0272,0,2401,-0.0455979255217733,-0.0585677086885025,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"25",0.128,0.1696,0.202,0.1596,0.202,0,2300,-0.0281182887408679,-0.0237731481979526,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"26",0.044,0.0248,0.0164,0.0256,0.0164,0,2300,-0.0643840440874555,-0.0724801631554364,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"27",0.9752,0.9944,0.9996,0.996,4e-04,0,2394,0.0786907868817617,0.0955515728344658,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
"28",0,0.026,0.3172,0.0224,0.3172,0,2358,-0.0607716110472641,-0.0150443117744999,100,0,0.8,0.8,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_19",0.2
