"","p_c_ab","p_c_mean","p_neg_c_ab","p_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","permtype","reform","save_dir","simulation_name","theta_ab"
"1",0.398,0.3616,0.3336,0.364,0.3336,0,2404,-0.0108331591148479,-0.0136801981518787,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"2",0.9712,0.9796,0.9824,0.9784,0.0176,0,2417,0.0594232550869397,0.061904518339589,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"3",0.0064,0.018,0.0492,0.0172,0.0492,0,2425,-0.0756290362337924,-0.0605093453985787,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"4",0.8072,0.8924,0.948,0.8948,0.052,0,2427,0.0466027870989325,0.0609853660528381,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"5",0.9336,0.946,0.9596,0.9496,0.0404,0,2436,0.0668163325771672,0.0720107337749253,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"6",0.0072,0.0596,0.2844,0.058,0.2844,0,2413,-0.0532593232391854,-0.0193024396217839,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"7",0.3236,0.364,0.4052,0.376,0.4052,0,2404,-0.0116397792659018,-0.00824935112736888,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"8",4e-04,0.0032,0.0296,0.0016,0.0296,0,2438,-0.101752975160265,-0.0691421262370163,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"9",0.0012,0.008,0.0532,0.0092,0.0532,0,2456,-0.0944455990659068,-0.0646173779597993,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"10",0.8596,0.9504,0.9884,0.9512,0.0116,0,2426,0.0566816362934784,0.0769371857520164,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"11",0.7304,0.9348,0.9928,0.9416,0.0072,0,2428,0.0491176931113519,0.078539023997208,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"12",0.838,0.7604,0.6736,0.7544,0.3264,0,2422,0.0245964732015396,0.0149994675402221,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"13",0.2292,0.1504,0.096,0.1484,0.096,0,2434,-0.0336159069891086,-0.0421495039273632,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"14",0.814,0.6852,0.538,0.6824,0.462,0,2438,0.0152927650209453,0.0031100577437086,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"15",0.0692,0.1956,0.4264,0.1972,0.4264,0,2405,-0.0251351648308132,-0.00508390666841816,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"16",0.4188,0.2788,0.1716,0.2752,0.1716,0,2384,-0.0185197827072568,-0.0304729385513184,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"17",0.9956,0.948,0.6948,0.9484,0.3052,0,2433,0.0449389342519131,0.0145015818562515,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"18",0.8412,0.8232,0.7988,0.8144,0.2012,0,2434,0.0339901430751305,0.0313527857287556,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"19",0.67,0.4688,0.2724,0.4636,0.2724,0,2424,-0.00273619973752713,-0.0198378458074711,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"20",0.8488,0.94,0.98,0.9372,0.02,0,2435,0.0580129787113451,0.0780180954277431,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"21",0.9336,0.9388,0.9464,0.9396,0.0536,0,2416,0.0542970720994174,0.0559126001913661,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"22",0.5916,0.5672,0.5484,0.5764,0.4516,0,2432,0.00672526699484919,0.00415767679426921,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"23",0.37,0.394,0.4116,0.3848,0.4116,0,2427,-0.00780921231736173,-0.00590943047252803,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"24",0.6088,0.296,0.1,0.3032,0.1,0,2422,-0.015788037263395,-0.0396248611850741,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"25",0.0252,0.0692,0.1632,0.0656,0.1632,0,2437,-0.0498354885472645,-0.0327028551330624,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"26",0.468,0.4404,0.4148,0.4436,0.4148,0,2406,-0.00513297467773432,-0.00741912632682583,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"27",0.0156,0.0164,0.0084,0.0084,0.0084,0,2418,-0.0686355800218315,-0.0682501173280444,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"28",0.9284,0.7904,0.5592,0.7972,0.4408,0,2412,0.0254940867874495,0.00485963214112224,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
"29",0.048,0.0788,0.1084,0.0696,0.1084,0,2411,-0.0550898163764617,-0.045394269516341,100,0.8,0,0,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_12",0.2
