"","p_c_ab","p_c_mean","p_neg_c_ab","p_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","permtype","reform","save_dir","simulation_name","theta_ab"
"1",0.802,0.4544,0.1544,0.4708,0.1544,0,2422,-0.000885572727448051,-0.009581272652534,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"2",0.0056,0.0208,0.0676,0.0132,0.0676,0,2437,-0.0220659345553253,-0.0153436428494184,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"3",0.7264,0.8304,0.9104,0.8248,0.0896,0,2426,0.0102448237324321,0.0143043453661085,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"4",0.8296,0.6364,0.4076,0.642,0.5924,0,2441,0.00299117867116934,-0.00199901063700395,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"5",0.2648,0.0676,0.0036,0.058,0.0036,0,2437,-0.0158479491098465,-0.0256878183282666,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"6",0.008,0.3832,0.9548,0.3516,0.9548,0,2418,-0.00311792757612305,0.015885338876119,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"7",0.9992,0.9248,0.216,0.902,0.784,0,2425,0.00702672871682321,-0.00398618939479555,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"8",1,1,0.4116,1,0.5884,0,2440,0.0132938987243952,-0.000468078469589875,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"9",0.9948,0.9896,0.9936,0.9984,0.0064,0,2419,0.0221735164998314,0.0194788517214539,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"10",0.9988,0.4036,0,0.4484,0,0,2411,-0.00221515492179694,-0.0365732100280787,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"11",1,0.9256,0.3544,0.9224,0.6456,0,2432,0.0176051846175684,-0.00479172334995391,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"12",0,0.0044,0.2648,0.0032,0.2648,0,2426,-0.0228617048375154,-0.00542264797211704,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"13",0,4e-04,0.3252,0,0.3252,0,2416,-0.0340341171151969,-0.00371753471249603,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"14",0.5624,0.5376,0.5196,0.5376,0.4804,0,2421,0.000584246934376721,0.000273439406924088,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"15",1,0.9984,0.9532,0.9988,0.0468,0,2434,0.0293341398228505,0.0151160686998614,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"16",0.992,0.9452,0.7772,0.9504,0.2228,0,2439,0.0234201254937897,0.0109338862036637,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"17",1,0.9764,0.2464,0.9668,0.7536,0,2440,0.0106610423059126,-0.00366745808735492,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"18",0.9352,0.9404,0.9616,0.9584,0.0384,0,2433,0.0158290680027874,0.0162340430668407,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"19",0,0.0012,0.0012,0,0.0012,0,2420,-0.0377314969325053,-0.0300709266564632,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"20",1,0.9996,0.5828,1,0.4172,0,2420,0.0211044188691457,0.00089205319727851,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"21",0.9536,0.8164,0.5048,0.8044,0.4952,0,2443,0.00734510055192182,4.0562654812413e-05,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"22",0.948,0.5044,0.0712,0.5448,0.9288,0,2439,0.000471987195737951,-0.0116074977758021,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"23",0.7016,0.8444,0.956,0.8448,0.044,0,2447,0.00853584047057879,0.0131861107227945,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"24",0.6028,0.4436,0.2956,0.458,0.2956,0,2432,-0.00119914740346834,-0.0049932135624847,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"25",0,0.012,0.8908,0.02,0.8908,0,2424,-0.013998181278138,0.00761273408813386,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"26",0.7852,0.9304,0.9956,0.9496,0.0044,0,2438,0.0130449558448759,0.0194604908833402,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"27",0.6868,0.8184,0.9376,0.8256,0.0624,0,2427,0.00449300600479598,0.00697239250183257,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"28",0.8248,0.7264,0.6176,0.73,0.3824,0,2428,0.00542991010898801,0.00245051148829425,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"29",4e-04,0.01,0.0812,0.0028,0.0812,0,2442,-0.0202194484090924,-0.0104559530299509,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
"30",0,0.038,0.7788,0.0424,0.7788,0,2428,-0.0157056995672464,0.00659716814701318,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_16",0.2
