"","p_ab_perm_mean_c","p_ab_perm_ab_c","p_opsign_ci","n_conv_warn","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","save_dir","simulation_name","theta_ab"
"1",0.9116,0.9224,0.1024,0,0.0264406955692398,0.0248732120804905,100,0,0.5,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_08",0.2
"2",0.9324,0.8128,0.0164,0,0.0269959207538175,0.0381019855430648,100,0,0.5,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_08",0.2
"3",0.01,8e-04,0.0552,0,-0.0505554447209911,-0.0337137922349371,100,0,0.5,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_08",0.2
"4",0.8796,0.8864,0.1232,0,0.0256476813072518,0.0248224313900647,100,0,0.5,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_08",0.2
"5",0.9088,0.7652,0.0372,0,0.0222040897277291,0.0320371927214805,100,0,0.5,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_08",0.2
"6",0.5084,0.5212,0.5072,0,0.000350988808850842,-0.000218591316532727,100,0,0.5,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_08",0.2
"7",0.5552,0.1636,0.1044,0,0.00218115211546267,0.0198896394247249,100,0,0.5,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_08",0.2
"8",0.3608,0.3552,0.3688,0,-0.00768800021989602,-0.00726158106352326,100,0,0.5,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_08",0.2
"9",0.0908,0.2092,0.032,0,-0.0264155000274938,-0.0370545015960316,100,0,0.5,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_08",0.2
"10",0.214,0.3584,0.1004,0,-0.0189233988680411,-0.0296011230908282,100,0,0.5,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_08",0.2
"11",0.9268,0.9404,0.0936,0,0.0287260946929644,0.0263198364178429,100,0,0.5,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_08",0.2
"12",0.8148,0.86,0.2468,0,0.0178527763510331,0.013624563451581,100,0,0.5,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_08",0.2
"13",0.9732,0.9732,0.0272,0,0.0350364355495224,0.0350249254086626,100,0,0.5,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_08",0.2
