"","p_ab_c_ab","p_ab_c_mean","p_ab_neg_c_ab","p_ab_neg_c_mean","p_boot_c_ab","p_boot_c_mean","p_boot_neg_c_ab","p_boot_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","boot_ab","X2.5.","X97.5.","X0.","X25.","X50.","X75.","X100.","J","a","b","boottype","c_p","mc.cores","n_j","niter","nperms","nreps","optimizer","permtype","reform","save_dir","simtype","simulation_name","theta_ab"
"1",0.1944,0.3636,0.5624,0.3528,0.3636,0.5716,0.752,0.5624,0.4376,0,33,-0.00691321602287774,0.00315340632164699,-0.0361854712432839,0.0434190993394446,-0.0590548238685566,-0.0099556170738389,0.00301749465700891,0.0162556824531065,0.0786571011783992,100,0.2,0,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_6",0.2
"2",0.8904,0.826,0.7516,0.8376,0.826,0.76,0.65,0.7516,0.2484,0,0,0.0173471419808305,0.0123042776187212,-0.0222449127806837,0.0490420253638116,-0.0489256585963651,6.74787158688184e-05,0.0114081153601559,0.024135674112053,0.0983329128896578,100,0.2,0,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_6",0.2
"3",0.924,0.6676,0.2876,0.6764,0.6676,0.2792,0.0588,0.2876,0.2876,0,0,0.0134357319294679,-0.0178311862306684,-0.081834048644617,0.0417843303145249,-0.128934000703781,-0.0386926943419964,-0.0170521478327703,0.00341639022983352,0.0926049492942516,100,0.2,0,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_6",0.2
"4",0.9336,0.8988,0.8468,0.8992,0.8988,0.846,0.7636,0.8468,0.1532,0,0,0.0359925994520867,0.0280093144819179,-0.027980445968467,0.0874253286203379,-0.0773487471999951,0.00919823054293041,0.0279045069180387,0.0460462617360411,0.128979579207378,100,0.2,0,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_6",0.2
"5",0.0436,0.15,0.3404,0.1444,0.15,0.3372,0.6164,0.3404,0.3404,0,0,-0.0257339705379531,-0.00964853323759214,-0.0577349761938775,0.0395980670847494,-0.103400957472888,-0.0259485272380097,-0.00952324886441891,0.00615904436375806,0.0727514471211806,100,0.2,0,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_6",0.2
"6",0.026,0.1948,0.6036,0.19,0.1948,0.6184,0.92,0.6036,0.3964,0,1,-0.0153584663993657,0.00459508678725253,-0.0308308487544744,0.0408642339641663,-0.055694398839217,-0.00713821039495733,0.0043599521356237,0.0160216616123374,0.0775898891232955,100,0.2,0,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_6",0.2
"7",0.4896,0.51,0.5204,0.5028,0.51,0.5244,0.536,0.5204,0.4796,0,0,0.000277847977951214,0.00119040194677446,-0.0428506384321209,0.0462724278363865,-0.105873381862682,-0.012969984526831,0.00107089062271682,0.0159831090228128,0.0853334021338882,100,0.2,0,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_6",0.2
"8",0.2164,0.2904,0.3676,0.2812,0.2904,0.3716,0.464,0.3676,0.3676,0,0,-0.00702960195781736,-0.00406905902030446,-0.0313060619953369,0.0234459865700759,-0.0534683557475445,-0.012794337229457,-0.00393885114895721,0.00413970824380916,0.0462595415456787,100,0.2,0,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_6",0.2
"9",0.5696,0.4972,0.45,0.5188,0.4972,0.4292,0.3808,0.45,0.45,0,0,0.000476182074942354,-0.00309861150027145,-0.0467837723191483,0.0383631623750088,-0.0802360301570535,-0.0168714688876101,-0.00241917553094788,0.0111425617553638,0.0780985201050461,100,0.2,0,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_6",0.2
"10",0.958,0.9208,0.8612,0.9324,0.9208,0.8508,0.7472,0.8612,0.1388,0,0,0.0350165608987455,0.0257308689806408,-0.0206343338624179,0.0777856614929148,-0.052728409469337,0.00908234935792087,0.0244231958983017,0.0422029271560909,0.131093892371467,100,0.2,0,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_6",0.2
"11",0.7452,0.5824,0.4116,0.5924,0.5824,0.4036,0.2532,0.4116,0.4116,0,0,0.00470232828439128,-0.00497904129672594,-0.0506528744031313,0.0398261649578726,-0.0941729111882172,-0.019388227638226,-0.00502701445768882,0.00984990738789835,0.0780019787490617,100,0.2,0,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_6",0.2
"12",0.9988,0.968,0.768,0.9756,0.968,0.7804,0.3092,0.768,0.232,0,3,0.0524534549147223,0.0197919416920846,-0.0318741488856651,0.0753574168612893,-0.0716881865276358,0.00129052660268271,0.0191701093625969,0.0373668320047493,0.129306338447292,100,0.2,0,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_6",0.2
"13",0.6184,0.588,0.56,0.5916,0.588,0.5552,0.5252,0.56,0.44,0,0,0.00414112065189643,0.00253176479944441,-0.0356224770246995,0.0407652653402798,-0.0804602238013095,-0.00932474981848964,0.00244244466387189,0.014666709217539,0.0688634841481212,100,0.2,0,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_6",0.2
"14",0.9004,0.8528,0.79,0.8544,0.8528,0.7868,0.6972,0.79,0.21,0,0,0.0271818468605927,0.0205117686069317,-0.0295561325826329,0.0719457242908023,-0.0709844426619549,0.00318127645136014,0.0200477984695478,0.0373109551114656,0.117411811915962,100,0.2,0,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_6",0.2
"15",0.842,0.832,0.8216,0.8312,0.832,0.82,0.81,0.8216,0.1784,0,0,0.0192622929417201,0.0184108733679294,-0.0213785952801519,0.0607181061467767,-0.0542066456390151,0.00497467752922741,0.0174535688667981,0.0318090965190716,0.095753651830217,100,0.2,0,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_6",0.2
"16",0.0056,0.0932,0.4672,0.0892,0.0932,0.4584,0.8832,0.4672,0.4672,0,227,-0.0364676273560369,-0.00215060746337713,-0.0554788190623811,0.0514397801402055,-0.14852784070917,-0.018912234531698,-0.00217877213996854,0.0153582463280894,0.0940904429536465,100,0.2,0,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_6",0.2
"17",0.4392,0.5492,0.6384,0.5136,0.5492,0.6552,0.7516,0.6384,0.3616,0,0,0.00199362254037694,0.00844206273062837,-0.0374512708506691,0.0551653966115888,-0.0766244928962275,-0.00642432945992924,0.00742587085884672,0.0234133255763697,0.100761169980675,100,0.2,0,"parametric",0.8,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_6",0.2
