"","p_c_ab","p_c_mean","p_neg_c_ab","p_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","reform","save_dir","simulation_name","theta_ab"
"480",0.2876,0.21,0.1464,0.2132,0.1464,0,2327,-0.0230083252929064,-0.0301635169211639,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"481",0.1352,0.1064,0.0792,0.106,0.0792,0,2333,-0.0349888978506702,-0.0388305568974886,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"482",0.6376,0.576,0.498,0.556,0.502,0,2378,0.00506973487663506,0.000430890982610619,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"483",0.6504,0.492,0.3388,0.5012,0.3388,0,2387,-0.00033977229306394,-0.0133391820227603,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"484",0.004,0.0244,0.0988,0.0252,0.0988,0,2395,-0.0630661082990431,-0.0422687734332872,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"485",0.6584,0.7356,0.8132,0.7436,0.1868,0,2377,0.0223457437376108,0.0300956735076882,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"486",0.1316,0.3072,0.5352,0.3104,0.5352,0,2292,-0.0153557533851195,0.0026712917361498,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"487",0.0096,0.0544,0.1756,0.0652,0.1756,0,2342,-0.0447316284353332,-0.0266151363195786,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"488",0.9328,0.9848,0.998,0.986,0.002,0,2381,0.0689378077622267,0.0899867270790319,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"489",0.6124,0.3524,0.1504,0.3508,0.1504,0,2328,-0.0114845929864115,-0.031963175645503,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"490",4e-04,4e-04,4e-04,0,4e-04,0,2394,-0.111912135425656,-0.0954360075983043,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"491",0.5032,0.7348,0.904,0.7392,0.096,0,2273,0.017420487999758,0.0352957803295304,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"492",0.9788,0.95,0.8824,0.944,0.1176,0,2367,0.0484390120507777,0.0358726905551135,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"493",0.0216,0.0236,0.0224,0.0196,0.0224,0,2319,-0.0576104654308849,-0.0568963140754085,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"494",0.0432,0.0452,0.0472,0.0448,0.0472,0,2342,-0.055083709222502,-0.0539325952379095,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"495",0.0072,0.0364,0.1236,0.036,0.1236,0,2257,-0.0605848839469079,-0.0381516744204114,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"496",0.1768,0.1808,0.1836,0.1812,0.1836,0,2380,-0.0300011669212453,-0.0296769174098591,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"497",0.0016,0.0152,0.0852,0.0112,0.0852,0,2322,-0.0706129938497946,-0.0437980524046688,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"498",0.004,0.006,0.0124,0.0068,0.0124,0,2405,-0.0633916047647557,-0.0587405484390786,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"499",0.996,0.9788,0.9356,0.9804,0.0644,0,2332,0.0701112244736821,0.0507796048394954,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"500",0.6368,0.7444,0.8216,0.7416,0.1784,0,2338,0.0226193703109312,0.0322577423911999,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
