"","p_ab_c_ab","p_ab_c_mean","p_ab_neg_c_ab","p_ab_neg_c_mean","p_boot_c_ab","p_boot_c_mean","p_boot_neg_c_ab","p_boot_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","boot_ab","X2.5.","X97.5.","X0.","X25.","X50.","X75.","X100.","J","a","b","boottype","c_p","mc.cores","n_j","niter","nperms","nreps","optimizer","permtype","reform","save_dir","simtype","simulation_name","theta_ab"
"1",0.0264,0.0504,0.096,0.0604,0.0504,0.0856,0.1348,0.096,0.096,0,31,-0.0794189109159794,-0.0672807449498592,-0.159548876937623,0.0297388574840431,-0.222354876300988,-0.102646292393862,-0.0676340836887936,-0.0341117496877134,0.115580458376683,100,0.8,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_2",0.2
"2",0.494,0.5124,0.524,0.506,0.5124,0.5292,0.542,0.524,0.476,0,44,0.00140395973523916,0.00409072591023597,-0.110741677356993,0.122327912704558,-0.196528558089407,-0.0360186660073576,0.00367712875937368,0.0424219656953922,0.201627745411311,100,0.8,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_2",0.2
"3",0.9632,0.9116,0.8236,0.9192,0.9116,0.8176,0.6792,0.8236,0.1764,0,1,0.0725410790917379,0.0485519469666423,-0.0536855922489162,0.153054858836589,-0.112071023249973,0.0133725267209664,0.0472281180771759,0.0834165609914984,0.231590389843052,100,0.8,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_2",0.2
"4",0.7472,0.6512,0.5308,0.6428,0.6512,0.5448,0.418,0.5308,0.4692,0,0,0.0209900411339736,0.00503925734783736,-0.0959394382468089,0.114595275643545,-0.18875437670598,-0.0319796376833148,0.00448407111088138,0.0425044443080338,0.209831618124488,100,0.8,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_2",0.2
"5",0.9604,0.9368,0.9096,0.94,0.9368,0.9104,0.8796,0.9096,0.0904,0,4,0.0753634334864417,0.0658478994388418,-0.0270336029997694,0.158871939122719,-0.0780118522549016,0.0324456722578452,0.0664398773186506,0.098327145033065,0.261050807068404,100,0.8,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_2",0.2
"6",0.2872,0.4732,0.6656,0.4736,0.4732,0.6708,0.8208,0.6656,0.3344,0,0,-0.00354740864918725,0.0218206372003153,-0.074037822857864,0.120683887233776,-0.150791465948859,-0.0127791278239127,0.0223046270237477,0.0547289046543678,0.19606283917489,100,0.8,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_2",0.2
"7",0.4444,0.4912,0.538,0.488,0.4912,0.5472,0.5784,0.538,0.462,0,19,-0.00111764133247164,0.00492751405859263,-0.0982782204950567,0.107473728936311,-0.207420151266318,-0.0294584620497594,0.00462287347963201,0.0402263862679549,0.222594633192142,100,0.8,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_2",0.2
"8",0.8652,0.7256,0.5308,0.73,0.7256,0.5304,0.3364,0.5308,0.4692,0,79,0.0288289056842649,0.00380640166351131,-0.0935888569030313,0.0941919998746478,-0.181205783094486,-0.0272560177948075,0.00350516422612587,0.0364900486749553,0.184446345289003,100,0.8,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_2",0.2
"9",0.6724,0.5608,0.4456,0.5636,0.5608,0.4428,0.3336,0.4456,0.4456,0,1,0.00818693827256161,-0.00726898682573861,-0.110013010536392,0.0992543562085686,-0.182657131920606,-0.0429248610370842,-0.00712915791324033,0.0271869076054406,0.188465633838576,100,0.8,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_2",0.2
"10",0.368,0.376,0.3796,0.3744,0.376,0.3832,0.3864,0.3796,0.3796,0,29,-0.0187578454783585,-0.0176434113096264,-0.133603329334903,0.0947052829513404,-0.222438886216579,-0.0554136334237329,-0.0172869917656123,0.0231170543349767,0.224815930200599,100,0.8,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_2",0.2
